entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMODIFICACIONPRECIOS","Codigo","MODIPRECDET","CODIGO",F,"C",20,0,"CARACTER",T,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","Equivalencia","MODIPRECDET","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMMODIFICACIONPRECIOS","Comportamiento","MODIPRECDET","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMODIFICACIONPRECIOS","Articulo","MODIPRECDET","CodArt",T,"C",15,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMMODIFICACIONPRECIOS","ArticuloDetalle","MODIPRECDET","DescArt",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMMODIFICACIONPRECIOS","Color","MODIPRECDET","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODIFICACIONPRECIOS","ColorDetalle","MODIPRECDET","Coltxt",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMMODIFICACIONPRECIOS","Talle","MODIPRECDET","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMODIFICACIONPRECIOS","TalleDetalle","MODIPRECDET","Talltxt",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","ListaDePrecio","MODIPRECDET","CodLisPr",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"",F,""
"ITEMMODIFICACIONPRECIOS","PrecioDeLista","MODIPRECDET","CodPreLis",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","PrecioAct","MODIPRECDET","CodPreAct",T,"N",12,2,"PRECIONONEGATIVO",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","TimestampAlta","MODIPRECDET","TimestampA",F,"N",14,0,"NUMERICO",F,"",F,"",F,""
