entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMOVSTOCK","Codigo","DETMSTOCK","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMMOVSTOCK","NoProcesarStock","DETMSTOCK","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMMOVSTOCK","CodigoDeBarras","","",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMMOVSTOCK","Equivalencia","DETMSTOCK","Equiv",F,"C",20,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMMOVSTOCK","Comportamiento","DETMSTOCK","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMOVSTOCK","IdItemArticulos","","",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMMOVSTOCK","Articulo","DETMSTOCK","MART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMMOVSTOCK","ArticuloDetalle","DETMSTOCK","DESCRIP",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMMOVSTOCK","Color","DETMSTOCK","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMOVSTOCK","ColorDetalle","DETMSTOCK","ColTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMMOVSTOCK","Talle","DETMSTOCK","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMOVSTOCK","TalleDetalle","DETMSTOCK","TallTXT",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Talle.Descripcion"
"ITEMMOVSTOCK","Cantidad","DETMSTOCK","CANTI",T,"N",10,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"goParametros.Felino.Sugerencias.CantidadSugeridaParaArticulosEnMovimientoDeStock",F,""
