entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMSTOCKAINV","Codigo","DETMSTOCKAINV","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMMSTOCKAINV","NoProcesarStock","DETMSTOCKAINV","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMMSTOCKAINV","CodigoDeBarras","","",F,"C",45,0,"CARACTER",F,"",F,"",F,""
"ITEMMSTOCKAINV","Equivalencia","DETMSTOCKAINV","Equiv",F,"C",20,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMMSTOCKAINV","Inventario","DETMSTOCKAINV","INVENTORIG",F,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"ITEMMSTOCKAINV","Insumo","DETMSTOCKAINV","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMMSTOCKAINV","InsumoDetalle","DETMSTOCKAINV","InsumoDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMMSTOCKAINV","Color","DETMSTOCKAINV","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMSTOCKAINV","ColorDetalle","DETMSTOCKAINV","ColTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMMSTOCKAINV","Talle","DETMSTOCKAINV","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMSTOCKAINV","TalleDetalle","DETMSTOCKAINV","TallTXT",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Talle.Descripcion"
"ITEMMSTOCKAINV","Partida","DETMSTOCKAINV","PARTIDA",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMMSTOCKAINV","Cantidad","DETMSTOCKAINV","CANTI",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMMSTOCKAINV","InventarioDestino","DETMSTOCKAINV","INVENTDEST",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"ITEMMSTOCKAINV","InventarioDestinoDetalle","DETMSTOCKAINV","INVENTDDET",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"inventariodestino.descripcion"
