entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMSTOCKDESDEPROD","Codigo","DETMSTOCKDESDPR","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","NoProcesarStock","DETMSTOCKDESDPR","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","CodigoDeBarras","","",F,"C",54,0,"CARACTER",F,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","Equivalencia","DETMSTOCKDESDPR","Equiv",F,"C",20,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMMSTOCKDESDEPROD","Comportamiento","DETMSTOCKDESDPR","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMSTOCKDESDEPROD","Inventario","DETMSTOCKDESDPR","INVENTORIG",F,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"ITEMMSTOCKDESDEPROD","Insumo","DETMSTOCKDESDPR","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMMSTOCKDESDEPROD","InsumoDetalle","DETMSTOCKDESDPR","InsumoDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMMSTOCKDESDEPROD","Color","DETMSTOCKDESDPR","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMSTOCKDESDEPROD","ColorDetalle","DETMSTOCKDESDPR","ColTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMMSTOCKDESDEPROD","Talle","DETMSTOCKDESDPR","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMSTOCKDESDEPROD","TalleDetalle","DETMSTOCKDESDPR","TallTXT",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Talle.Descripcion"
"ITEMMSTOCKDESDEPROD","Partida","DETMSTOCKDESDPR","PARTIDA",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","Unidad","DETMSTOCKDESDPR","FUnid",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,"Insumo UnidadDeMedida"
"ITEMMSTOCKDESDEPROD","Cantidad","DETMSTOCKDESDPR","CANTI",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","Articulo","DETMSTOCKDESDPR","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMMSTOCKDESDEPROD","ArticuloDetalle","DETMSTOCKDESDPR","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMMSTOCKDESDEPROD","ColorArt","DETMSTOCKDESDPR","colart",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMSTOCKDESDEPROD","ColorArtDetalle","DETMSTOCKDESDPR","colartdet",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"ColorArt.Descripcion"
"ITEMMSTOCKDESDEPROD","TalleArt","DETMSTOCKDESDPR","talleart",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMSTOCKDESDEPROD","TalleArtDetalle","DETMSTOCKDESDPR","talleardet",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"TalleArt.Descripcion"
"ITEMMSTOCKDESDEPROD","UnidadStockDF","DETMSTOCKDESDPR","FUnidDF",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,"Artículo UnidadDeMedida"
"ITEMMSTOCKDESDEPROD","Rinde","DETMSTOCKDESDPR","RINDE",T,"N",9,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
"ITEMMSTOCKDESDEPROD","CantidadStockDF","DETMSTOCKDESDPR","CANTIDF",T,"N",10,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
