entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMOPERACIONESECOM","Numero","ECCOMPDET","NUMERO",F,"N",10,0,"CODIGO",T,"",F,"",F,""
"ITEMOPERACIONESECOM","NumeroOperacion","ECCOMPDET","OPENUM",T,"C",38,0,"CARACTEROPERACION",F,"",F,"",T,""
"ITEMOPERACIONESECOM","Cantidad","ECCOMPDET","CANT",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Monto","ECCOMPDET","MONTO",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Cliente","ECCOMPDET","CLIENTE",F,"C",10,0,"CODIGO",F,"CLIENTEECOMMERCE",F,"",F,""
"ITEMOPERACIONESECOM","ClienteDescripcion","ECCOMPDET","CLIEDSC",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMOPERACIONESECOM","ClienteDragon","ECCOMPDET","CLIDRAGON",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"ITEMOPERACIONESECOM","Envio","ECCOMPDET","ENVIO",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMOPERACIONESECOM","FullEnvios","ECCOMPDET","FULLENVIOS",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Cancelada","ECCOMPDET","CANCELADA",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOPERACIONESECOM","TipoComprobante","ECCOMPDET","TIPOCOMP",T,"C",30,0,"COMBOACCIONESECOMMERCE",F,"",F,"",F,""
"ITEMOPERACIONESECOM","ClienteNombre","ECCOMPDET","NOMBRE",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Operacion","ECCOMPDET","OPECOD",F,"G",38,0,"CODIGO",F,"OPERACIONECOMMERCE",F,"",F,""
"ITEMOPERACIONESECOM","Pagado","ECCOMPDET","PAGADO",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOPERACIONESECOM","FaltaArt","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Buzon","ECCOMPDET","BUZON",T,"C",30,0,"COMBOBUZON",F,"",F,"",F,""
"ITEMOPERACIONESECOM","Plataforma","ECCOMPDET","PLATA",F,"C",10,0,"CARACTER",F,"",F,"",F,"operacion.Ecommerce_pk"
"ITEMOPERACIONESECOM","BaseDeDatos","ECCOMPDET","BDATOS",T,"C",50,0,"COMBOSUCURSALESECOMMERCE",F,"",F,"",F,""
"ITEMOPERACIONESECOM","NumeroComprobante","ECCOMPDET","NROCOMP",T,"C",30,0,"CARACTER",F,"",F,"",F,"operacionecommerce.comprobante"
"ITEMOPERACIONESECOM","UtilizaStockOtraBase","ECCOMPDET","USAOTRABD",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOPERACIONESECOM","BDOrigenStock","ECCOMPDET","ORIGENST",F,"C",11,0,"COMBOSUCURSALESECOMMERCE",F,"",F,"",F,""
"ITEMOPERACIONESECOM","CbteTentativoParaCancelacion","","",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMOPERACIONESECOM","ComprobanteAfectado","ECCOMPDET","NROCOMPAFE",F,"C",100,0,"CARACTER",F,"",F,"",F,""
