entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMORDENSALIDA","CodigoOrden","ORDPSAL","CodOrden",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMORDENSALIDA","Proceso","ORDPSAL","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMORDENSALIDA","ColorM","ORDPSAL","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMORDENSALIDA","ColorMDetalle","ORDPSAL","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMORDENSALIDA","TalleM","ORDPSAL","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMORDENSALIDA","TalleMDetalle","ORDPSAL","cTalleDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMORDENSALIDA","Semielaborado","ORDPSAL","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMORDENSALIDA","SemielaboradoDetalle","ORDPSAL","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMORDENSALIDA","Color","ORDPSAL","iColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMORDENSALIDA","ColorDetalle","ORDPSAL","IColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMORDENSALIDA","Talle","ORDPSAL","iTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMORDENSALIDA","TalleDetalle","ORDPSAL","ITalleDEt",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMORDENSALIDA","Cantidad","ORDPSAL","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
