entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMOTRASDIRECCIONES","Codigo","CliOtrasDir","ODCOD",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Calle","CliOtrasDir","ODCalle",T,"C",250,0,"CARACTER",F,"",F,"",T,""
"ITEMOTRASDIRECCIONES","Numero","CliOtrasDir","ODNro",T,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Piso","CliOtrasDir","ODPiso",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Departamento","CliOtrasDir","ODDepto",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Localidad","CliOtrasDir","ODLoc",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","CodigoPostal","CliOtrasDir","ODCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Provincia","CliOtrasDir","ODPrv",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"ITEMOTRASDIRECCIONES","ProvinciaDetalle","CliOtrasDir","ODPrvNom",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Pais","CliOtrasDir","ODPais",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"ITEMOTRASDIRECCIONES","PaisDetalle","CliOtrasDir","ODPAISNom",T,"C",30,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Telefono","CliOtrasDir","ODTel",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","TipoDireccion","CliOtrasDir","ODTipoDir",T,"C",4,0,"COMBOTABLA",F,"TIPODEDIRECCION",F,"",F,""
"ITEMOTRASDIRECCIONES","Notas","CliOtrasDir","ODNotas",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMOTRASDIRECCIONES","Preferente","CliOtrasDir","ODPref",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
