entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMPUBLICACIONECOM","IDPublicacion","OpEcomDet","IDPUB",T,"C",13,0,"CARACTER",F,"",F,"",T,""
"ITEMPUBLICACIONECOM","Codigo","OpEcomDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMPUBLICACIONECOM","Comportamiento","OpEcomDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMPUBLICACIONECOM","StoreOrderId","OpEcomDet","STOREORDER",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","NumeroOperacion","OpEcomDet","NumOpe",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","NroOperacionCancelacion","OpEcomDet","NumOpeCan",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","CodigoHerrCancelacion","OpEcomDet","CodHerrCan",F,"N",10,0,"NUMERICO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","Descripcion","OpEcomDet","DESCRI",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","Articulo","OpEcomDet","OPART",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMPUBLICACIONECOM","ArticuloDetalle","OpEcomDet","ARTDET",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMPUBLICACIONECOM","Color","OpEcomDet","OPCOLOR",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMPUBLICACIONECOM","ColorDetalle","OpEcomDet","COLDET",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMPUBLICACIONECOM","Talle","OpEcomDet","OPTALLE",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMPUBLICACIONECOM","Cantidad","OpEcomDet","CANT",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","Precio","OpEcomDet","PRECIO",T,"N",12,2,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","Descuento","OpEcomDet","PORDESC",T,"N",6,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","MontoDescuento","OpEcomDet","MONDESC",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","Monto","OpEcomDet","MONTO",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMPUBLICACIONECOM","FechaCancelacion","OpEcomDet","FecCan",T,"D",8,0,"FECHA",F,"",F,"",F,""
