entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMRECIBO","Vencimiento","ReciboDet","RFecVen",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMRECIBO","Codigo","ReciboDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMRECIBO","Letra","ReciboDet","LetraAfec",F,"C",1,0,"CARACTER",F,"",F,"",T,""
"ITEMRECIBO","PuntoDeVenta","ReciboDet","PtoAfec",F,"N",4,0,"NUMERICO",F,"",F,"",T,""
"ITEMRECIBO","NumeroDeComprobante","ReciboDet","Numafec",F,"N",8,0,"NUMERICO",F,"",F,"",T,""
"ITEMRECIBO","TipoDeComprobante","ReciboDet","Tipo",F,"C",2,0,"CARACTER",F,"",F,"",T,""
"ITEMRECIBO","Valor","ReciboDet","RVal",F,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"ITEMRECIBO","Tipo","ReciboDet","Rtipo",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMRECIBO","EsPagoACuenta","ReciboDet","lPagoACta",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMRECIBO","CodigoComprobante","ReciboDet","CodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMRECIBO","RecargoSinPercepciones","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMRECIBO","Caja","ReciboDet","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMRECIBO","Secuencia","ReciboDet","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMRECIBO","Cliente","ReciboDet","Cliente",F,"C",10,0,"CARACTER",F,"",F,"",T,""
"ITEMRECIBO","BaseDeDatosAltaFW","ReciboDet","BDAltaFW",F,"C",8,0,"CARACTER",F,"",F,"",T,""
"ITEMRECIBO","CuentaParaImpresion","","",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMRECIBO","CAE","ReciboDet","Cae",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMRECIBO","Fecha","ReciboDet","Fecha",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMRECIBO","Descripcion","ReciboDet","Descrip",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMRECIBO","Anotacion","ReciboDet","anotacion",T,"C",100,0,"OBSERVACION",F,"",T,"",F,""
"ITEMRECIBO","SaldoAux","ReciboDet","SaldoAux",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMRECIBO","Monto","ReciboDet","RMonto",T,"N",15,2,"NUMERICOCARGASALDO",F,"",F,"",F,""
