entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALEDECAMBIO","Codigo","VALCAMBIODET","Codigo",F,"C",38,0,"CODIGO",T,"",F,"",T,""
"ITEMVALEDECAMBIO","CodigoComprobanteDestino","VALCAMBIODET","CCodCompd",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","TipoDeComprobanteDestino","VALCAMBIODET","cTipCd",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALEDECAMBIO","LetraDestino","VALCAMBIODET","cletd",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","PuntoDeVentaDestino","VALCAMBIODET","cptovtad",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALEDECAMBIO","NumeroDestino","VALCAMBIODET","cnumd",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALEDECAMBIO","ComprobanteDestino","VALCAMBIODET","CCompDes",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","ClienteDestino","VALCAMBIODET","cClienteD",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","FechaDestino","VALCAMBIODET","CFchDest",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ITEMVALEDECAMBIO","Monto","VALCAMBIODET","CMonto",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALEDECAMBIO","SerieDestino","VALCAMBIODET","CSerieD",T,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","UsuarioDestino","VALCAMBIODET","CUsuarioD",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","BDDestino","VALCAMBIODET","CBDDest",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"ITEMVALEDECAMBIO","SignoDeMovimientoDestino","VALCAMBIODET","cSignod",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
