entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORESCOMPRA","Codigo","ValFacComp","JJNUM",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMVALORESCOMPRA","Cotiza","ValFacComp","JJCotiz",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","FechaComp","ValFacComp","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Letra","ValFacComp","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","NroDocumento","ValFacComp","NroDoc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","NroItem","ValFacComp","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","NumeroCheque","ValFacComp","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORESCOMPRA","NumeroCupon","ValFacComp","NroCupon",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","NumeroTarjeta","ValFacComp","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","NumerodeComprobante","ValFacComp","NumCompr",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","PesosAlCambio","ValFacComp","Pesos",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","PuntoDeVenta","ValFacComp","PtoVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Signo","ValFacComp","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Tipo","ValFacComp","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORESCOMPRA","TipoDocumento","ValFacComp","TipoDoc",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","TipodeComprobante","ValFacComp","TIPCOMP",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Turno","ValFacComp","JJTurno",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Valor","ValFacComp","JJCO",T,"C",5,0,"CODIGOVALOR",F,"VALOR",F,"",T,""
"ITEMVALORESCOMPRA","Vendedor","ValFacComp","JJVen",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPRA","FechaUltCotizacion","ValFacComp","FechCoti",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCOMPRA","UltimaCotizacion","ValFacComp","Cotiza",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPRA","Caja","ValFacComp","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMVALORESCOMPRA","PersonalizarComprobante","ValFacComp","PersComp",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Valor.PersonalizarComprobante"
"ITEMVALORESCOMPRA","CondicionRecargo","","",F,"N",1,0,"NUMERICO",F,"",F,"=2",F,""
"ITEMVALORESCOMPRA","NumeroChequePropio","ValFacComp","NroChProp",F,"G",38,0,"CODIGO",F,"CHEQUEPROPIO",F,"",F,""
