entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORESCOMPROPAGO","Codigo","VALCOMPPAGO","JJNUM",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Cotiza","VALCOMPPAGO","JJCotiz",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","FechaComp","VALCOMPPAGO","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Letra","VALCOMPPAGO","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","NroDocumento","VALCOMPPAGO","NroDoc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","NroItem","VALCOMPPAGO","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","NumeroCheque","VALCOMPPAGO","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORESCOMPROPAGO","NumeroCupon","VALCOMPPAGO","NroCupon",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","NumeroTarjeta","VALCOMPPAGO","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","NumerodeComprobante","VALCOMPPAGO","NumCompr",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","PesosAlCambio","VALCOMPPAGO","Pesos",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","PuntoDeVenta","VALCOMPPAGO","PtoVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Signo","VALCOMPPAGO","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Tipo","VALCOMPPAGO","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORESCOMPROPAGO","TipoDocumento","VALCOMPPAGO","TipoDoc",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","TipodeComprobante","VALCOMPPAGO","TIPCOMP",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Turno","VALCOMPPAGO","JJTurno",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Valor","VALCOMPPAGO","JJCO",T,"C",5,0,"CODIGOVALOR",F,"VALOR",F,"",T,""
"ITEMVALORESCOMPROPAGO","Vendedor","VALCOMPPAGO","JJVen",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","FechaUltCotizacion","VALCOMPPAGO","FechCoti",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","UltimaCotizacion","VALCOMPPAGO","Cotiza",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCOMPROPAGO","Caja","VALCOMPPAGO","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
