entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORESNDCOMPRA","Codigo","ValNdComp","JJNUM",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMVALORESNDCOMPRA","Cotiza","ValNdComp","JJCotiz",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","FechaComp","ValNdComp","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","Letra","ValNdComp","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","NroDocumento","ValNdComp","NroDoc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","NroItem","ValNdComp","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","NumeroCheque","ValNdComp","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORESNDCOMPRA","NumeroCupon","ValNdComp","NroCupon",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","NumeroTarjeta","ValNdComp","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","NumerodeComprobante","ValNdComp","NumCompr",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","PesosAlCambio","ValNdComp","Pesos",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","PuntoDeVenta","ValNdComp","PtoVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","Signo","ValNdComp","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESNDCOMPRA","Tipo","ValNdComp","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORESNDCOMPRA","TipoDocumento","ValNdComp","TipoDoc",F,"C",2,0,"CARACTER",F,"",F,"",F,""
