entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"LIQUIDACIONMENSUAL","Codigo","liqMensual","codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"LIQUIDACIONMENSUAL","NumInt","liqMensual","numint",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",T,""
"LIQUIDACIONMENSUAL","IdRegistroDeCuenta","liqMensual","IdRegCta",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","Operadora","liqMensual","operadora",T,"C",15,0,"CODIGO",F,"OPERADORADETARJETA",F,"",T,""
"LIQUIDACIONMENSUAL","FechaDesde","liqMensual","fechadesde",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha() -(day(goServicios.Librerias.ObtenerFecha())-1)",T,""
"LIQUIDACIONMENSUAL","FechaHasta","liqMensual","fechahasta",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerUltimoDiaDelMes(goServicios.Librerias.ObtenerFecha())",T,""
"LIQUIDACIONMENSUAL","FechaLiq","liqMensual","fechaliq",T,"D",8,0,"FECHACALENDARIO",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"LIQUIDACIONMENSUAL","PuntoDeVentaLiquidacion","liqMensual","ptoventa",T,"N",4,0,"NUMEROCOMPROBANTEEDITSINLETRA",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","NumeroLiquidacion","liqMensual","nroliq",T,"N",15,0,"NUMEROCOMPROBANTEEDITSINLETRA",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","Conceptosdiarios","liqConDiaDet","codigo",T,"G",38,0,"DETALLEITEMLIQDIARIA",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","Conceptosgenerales","liqConMenlDet","codigo",T,"G",38,0,"DETALLEITEMLIQGENERAL",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","TotalLiquidacion","liqMensual","TotalLiq",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","TotalGravado","liqMensual","TotalGrav",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","TotalNoGravado","liqMensual","TotalNoGra",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","SubTotal","liqMensual","SubTotal",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","OtrosImpuestos","liqMensual","OtrosImp",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","TotalIva","liqMensual","totiva",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","TotalOtroIva","liqMensual","OtroIva",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","Obs","liqMensual","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","ImpuestosDetalle","ImpLiqMen","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSLIQ",F,"",F,"",F,""
"LIQUIDACIONMENSUAL","ImpuestosComprobante","ImpLiqMenCom","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOSLIQCOM",F,"",F,"",F,""
