entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"LISTADEPRECIOS","Codigo","LPRECIO","LPR_NUMERO",T,"C",6,0,"CODIGO",T,"",F,"",F,""
"LISTADEPRECIOS","Nombre","LPRECIO","LPR_NOMBRE",T,"C",30,0,"CARACTER",F,"",T,"",F,""
"LISTADEPRECIOS","FechaHasta","LPRECIO","fechahasta",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"LISTADEPRECIOS","CondicionIva","LPRECIO","LPR_CONDIV",T,"N",1,0,"COMBOXML",F,"",F,"",T,""
"LISTADEPRECIOS","Moneda","LPRECIO","LPR_MONEDA",T,"C",10,0,"CODIGO",F,"MONEDA",F,"=goParametros.Felino.Generales.MonedaSistema",T,""
"LISTADEPRECIOS","DescuentoPreferente","LPRECIO","LPR_DESC",T,"C",10,0,"CODIGO",F,"DESCUENTO",F,"",F,""
"LISTADEPRECIOS","OrdenConsulta","LPRECIO","LOrdCons",F,"N",1,0,"COMBOXML",F,"",F,"",F,""
"LISTADEPRECIOS","HabilitaConsultas","LPRECIO","LHabilitaC",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADEPRECIOS","NivelVisibilidad","LPRECIO","NivelVis",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"LISTADEPRECIOS","PreciosCalculadosAlUsarlos","LPRECIO","PCalculado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADEPRECIOS","ListaPBase","LPRECIO","ListaBase",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"",F,""
"LISTADEPRECIOS","Operador","LPRECIO","Operador",T,"C",1,0,"COMBOOPERACION",F,"",F,"",F,""
"LISTADEPRECIOS","Coeficiente","LPRECIO","Coeficient",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"LISTADEPRECIOS","MonedaParaCotiz","LPRECIO","MonedaCoti",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"LISTADEPRECIOS","TipoRedondeo","LPRECIO","TRedondeo",T,"N",1,0,"REDONDEOLISTAPRECIOS",F,"",F,"",F,""
"LISTADEPRECIOS","Cantidad","LPRECIO","Cantidad",T,"N",2,0,"REDONDEOLISTAPRECIOS",F,"",F,"",F,""
"LISTADEPRECIOS","Observacion","LPRECIO","LObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"LISTADEPRECIOS","Redondeo","LPRECIO","LPR_REDOND",F,"C",10,0,"CODIGO",F,"REDONDEODEPRECIOS",F,"",F,""
