entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"MOVIMIENTOBANCARIO","Identificador","MOVBANC","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"MOVIMIENTOBANCARIO","CuentaBancaria","MOVBANC","CtaBanc",T,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",T,""
"MOVIMIENTOBANCARIO","Orden","MOVBANC","Orden",T,"N",5,0,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","NumeroCuenta","","",T,"C",18,0,"CARACTER",F,"",F,"",F,"CuentaBancaria.Numero"
"MOVIMIENTOBANCARIO","Moneda","","",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"CuentaBancaria.MonedaCuenta"
"MOVIMIENTOBANCARIO","Fecha","MOVBANC","Fecha",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
"MOVIMIENTOBANCARIO","Hora","MOVBANC","Hora",T,"C",5,0,"HORA",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","Concepto","MOVBANC","Concepto",T,"C",10,0,"CODIGO",F,"CONCEPTOENTIDADFINANCIERA",F,"",F,""
"MOVIMIENTOBANCARIO","Referencia","MOVBANC","Refe",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","DatoAdicional1","MOVBANC","DatAd1",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","DatoAdicional2","MOVBANC","DatAd2",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","DatoAdicional3","MOVBANC","DatAd3",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","Numero","MOVBANC","Numero",T,"N",10,0,"NUMERICO",F,"",T,"",F,""
"MOVIMIENTOBANCARIO","Importe","MOVBANC","Importe",T,"N",15,2,"NUMERICO",F,"",F,"",T,""
"MOVIMIENTOBANCARIO","Saldo","MOVBANC","Saldo",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTOBANCARIO","Observacion","MOVBANC","Obs",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
