entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"MOVIMIENTODECAJA","Id","MOVCAJA","IdMovi",T,"G",38,0,"CODIGONUMERICODESHABILITADO",T,"",F,"",T,""
"MOVIMIENTODECAJA","FechaComprobante","MOVCAJA","FechaCompr",F,"D",8,0,"FECHA",F,"",F,"",F,""
"MOVIMIENTODECAJA","Tarea","MOVCAJA","Tarea",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODECAJA","Numerocomprobante","MOVCAJA","NumComp",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTODECAJA","Accion","MOVCAJA","Accion",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODECAJA","PuntoDeVenta","MOVCAJA","PtoVta",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTODECAJA","Secuencia","MOVCAJA","FactSec",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODECAJA","TipoValor","MOVCAJA","TipoValor",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTODECAJA","ItemValor","MOVCAJA","ItemValor",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODECAJA","Fecha","MOVCAJA","Fecha",T,"D",8,0,"FECHA",F,"",T,"=goServicios.librerias.ObtenerFecha()",T,""
"MOVIMIENTODECAJA","Vendedor","MOVCAJA","IdVendedor",T,"C",10,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"MOVIMIENTODECAJA","Turno","MOVCAJA","Turno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"MOVIMIENTODECAJA","CajaAuditoria","MOVCAJA","IdCajaAudi",T,"N",10,0,"CODIGONUMERICO",F,"CAJAAUDITORIA",F,"",F,""
"MOVIMIENTODECAJA","FechaCaja","MOVCAJA","FechaCaja",T,"D",8,0,"FECHA",F,"",F,"",T,""
"MOVIMIENTODECAJA","Hora","MOVCAJA","Hora",T,"C",8,0,"CARACTER",F,"",F,"",T,""
"MOVIMIENTODECAJA","Valor","MOVCAJA","idValor",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"MOVIMIENTODECAJA","CajaEstado","MOVCAJA","IDCaja",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"MOVIMIENTODECAJA","TipoComprobante","MOVCAJA","TipoComp",T,"C",2,0,"CARACTER",F,"",F,"",T,""
"MOVIMIENTODECAJA","Monto","MOVCAJA","Monto",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTODECAJA","Descripcion","MOVCAJA","Descrip",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODECAJA","Cotizacion","MOVCAJA","Cotiz",T,"N",15,5,"NUMERICO",F,"",F,"",T,""
