entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADECREDITODEEXPORTACION","Cliente","ComprobanteV","FPerson",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"NOTADECREDITODEEXPORTACION","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=48",F,""
"NOTADECREDITODEEXPORTACION","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",T,""
"NOTADECREDITODEEXPORTACION","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADECREDITODEEXPORTACION","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","impresionsituacionfiscal","","",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","impresionPorcentajedeiva","","",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADECREDITODEEXPORTACION","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITODEEXPORTACION","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
