entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADEDEBITOELECTRONICAEXPORTACION","Cliente","COMPROBANTEV","FPerson",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"NOTADEDEBITOELECTRONICAEXPORTACION","ComprobanteFiscal","COMPROBANTEV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","FechaModificacion","COMPROBANTEV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","Hora","COMPROBANTEV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","SimboloMonetarioComprobante","COMPROBANTEV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","SubtotalBruto","COMPROBANTEV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","SubtotalNeto","COMPROBANTEV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","TipoComprobante","COMPROBANTEV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=36",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","signodemovimiento","COMPROBANTEV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"NOTADEDEBITOELECTRONICAEXPORTACION","ImpuestosDetalle","IMPUESTOSV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","anulado","COMPROBANTEV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","CondicionIva","COMPROBANTEV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADEDEBITOELECTRONICAEXPORTACION","IdVuelto","COMPROBANTEV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICAEXPORTACION","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
