entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"OBJETIVOSVENTA","BaseDeDatos","","",F,"C",8,0,"CODIGO",F,"BASEDEDATOS",F,"=_screen.zoo.app.cSucursalActiva",F,""
"OBJETIVOSVENTA","Clave","OBJETIVOSVENTA","clave",F,"G",38,0,"CARACTER",F,"",F,"=goLibrerias.ObtenerGuidPK()",F,""
"OBJETIVOSVENTA","Nombre","OBJETIVOSVENTA","nombre",T,"C",150,0,"CARACTER",F,"",F,"",F,""
"OBJETIVOSVENTA","Sucursal","OBJETIVOSVENTA","sucursal",T,"C",10,0,"CODIGO",F,"SUCURSAL",F,"=this.Basededatos.Sucursal_PK",T,""
"OBJETIVOSVENTA","Codigo","OBJETIVOSVENTA","codigo",T,"N",10,0,"CODIGONUMERICO",T,"",F,"",F,""
"OBJETIVOSVENTA","horaALTAFW","OBJETIVOSVENTA","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"OBJETIVOSVENTA","RegistradoPor","OBJETIVOSVENTA","regPor",F,"C",100,0,"CARACTER",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"OBJETIVOSVENTA","FechaAltaFW","OBJETIVOSVENTA","FAltaFW",T,"D",8,0,"FECHA",F,"",F,"",F,""
"OBJETIVOSVENTA","Serie","OBJETIVOSVENTA","serie",F,"C",6,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSerie",F,""
"OBJETIVOSVENTA","BD","OBJETIVOSVENTA","bd",F,"C",8,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSucursalActiva",F,""
"OBJETIVOSVENTA","TipoObj","OBJETIVOSVENTA","tipoObj",T,"C",10,0,"CODIGO",F,"TIPOOBJETIVO",F,"",F,""
"OBJETIVOSVENTA","Monto","OBJETIVOSVENTA","monto",T,"N",15,2,"NUMERICO",F,"",F,"",T,""
"OBJETIVOSVENTA","Vigenciadesde","OBJETIVOSVENTA","desde",T,"D",8,0,"FECHA",F,"",T,"",T,""
"OBJETIVOSVENTA","Vigenciahasta","OBJETIVOSVENTA","hasta",T,"D",8,0,"FECHA",F,"",F,"",T,""
"OBJETIVOSVENTA","Obs","OBJETIVOSVENTA","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
