entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"OPERACIONECOMMERCE","Ecommerce","OPECOM","ECOMMERCE",T,"C",10,0,"CODIGO",F,"ECOMMERCE",F,"",T,""
"OPERACIONECOMMERCE","CantidadTotal","OPECOM","CANT",F,"N",10,0,"NUMERICO",F,"",F,"",F,""
"OPERACIONECOMMERCE","EnvioId","OPECOM","IdEnvio",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","ComprobanteID","OPECOM","IDCOMP",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","LogisticType","OPECOM","Logistic",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","Numero","OPECOM","NUMERO",T,"C",38,0,"CARACTER",F,"",F,"",T,""
"OPERACIONECOMMERCE","ClienteEcom","OPECOM","CLIECOM",T,"C",10,0,"CODIGO",F,"CLIENTEECOMMERCE",F,"",F,""
"OPERACIONECOMMERCE","ClienteDragon","OPECOM","CLIEDRAGON",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"OPERACIONECOMMERCE","DatosEnvio","OPECOM","ENVIO",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","TelefonoEnvio","OPECOM","TELENVIO",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","DatosPago","OPECOM","PAGO",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","DatosRetiro","OPECOM","RETIRO",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","Codigo","OPECOM","CODIGO",T,"G",38,0,"CODIGO",T,"",F,"",T,""
"OPERACIONECOMMERCE","Fecha","OPECOM","FECHA",T,"D",8,0,"FECHACALENDARIO",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"OPERACIONECOMMERCE","Hora","OPECOM","HORA",T,"C",5,0,"HORA",F,"",F,"=left( goservicios.libreRIAS.obtenerhora() , 5)",F,""
"OPERACIONECOMMERCE","MLFullEnvios","OPECOM","MLFULLE",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"OPERACIONECOMMERCE","PendienteDeProcesar","OPECOM","PenProc",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"OPERACIONECOMMERCE","PackId","OPECOM","PACKID",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","StoreOrderId","OPECOM","STOREORDER",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"OPERACIONECOMMERCE","Pagado","OPECOM","PAGADO",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"OPERACIONECOMMERCE","FechaDePago","OPECOM","FPAGO",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"OPERACIONECOMMERCE","LinkOperacionEcommerce","OPECOM","UrlEcomm",T,"C",200,0,"WEB",F,"",F,"",F,""
"OPERACIONECOMMERCE","PublicacionDetalle","OPECOMDET","CODIGO",T,"G",38,0,"DETALLEITEMPUBLICACIONECOM",F,"",F,"",F,""
"OPERACIONECOMMERCE","DescuentoPorcentaje","OPECOM","PODESC",T,"N",5,2,"DESCUENTO",F,"",F,"",F,""
"OPERACIONECOMMERCE","DescuentoMonto","OPECOM","MONDESC",T,"N",12,2,"DESCUENTO",F,"",F,"",F,""
"OPERACIONECOMMERCE","DescuentoMonto2","OPECOM","MONDES2",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"OPERACIONECOMMERCE","RecargoPorcentaje","OPECOM","PORREC",T,"N",5,2,"DESCUENTO",F,"",F,"",F,""
"OPERACIONECOMMERCE","RecargoMonto","OPECOM","MONREC",T,"N",12,2,"DESCUENTO",F,"",F,"",F,""
"OPERACIONECOMMERCE","RecargoMonto2","OPECOM","MONREC2",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"OPERACIONECOMMERCE","ValoresDetalle","OPECOMVAL","JJNUM",T,"G",38,0,"DETALLEITEMVALOROPEECOM",F,"",F,"",F,""
"OPERACIONECOMMERCE","Total","OPECOM","OPTOTAL",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"OPERACIONECOMMERCE","ZADSFW","OPECOM","ZADSFW",T,"M",0,0,"OBSERVACION4R",F,"",F,"",F,""
"OPERACIONECOMMERCE","Obs","OPECOM","OBS",T,"M",0,0,"OBSERVACION4R",F,"",F,"",F,""
