entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ORDENDEPAGO","TipoComprobante","OrdPago","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=31",F,""
"ORDENDEPAGO","ComprobanteFiscal","OrdPago","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ORDENDEPAGO","CompAfec2","CompAfe","Codigo",F,"C",38,0,"DETALLEITEMCOMPROBANTE",F,"",F,"",F,""
"ORDENDEPAGO","IdVuelto","OrdPago","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"ORDENDEPAGO","SimboloMonetarioComprobante","OrdPago","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ORDENDEPAGO","signodemovimiento","OrdPago","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",T,""
"ORDENDEPAGO","Caja","OrdPago","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ORDENDEPAGO","MonedaSistema","OrdPago","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"ORDENDEPAGO","FechaAltaFW","OrdPago","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"ORDENDEPAGO","HoraAltaFW","OrdPago","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"ORDENDEPAGO","Proveedor","OrdPago","FPerson",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"PROVEEDOR",F,"",T,""
"ORDENDEPAGO","Usuario","OrdPago","FVEN",T,"C",100,0,"CARACTER",F,"",T,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"ORDENDEPAGO","MonedaComprobante","OrdPago","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"=goParametros.Felino.Generales.MonedaSistema",F,""
"ORDENDEPAGO","MontoConciliar","","",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ORDENDEPAGO","Anulado","OrdPago","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ORDENDEPAGO","ProveedorDescripcion","OrdPago","Fproved",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Proveedor.Nombre"
"ORDENDEPAGO","Letra","OrdPago","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",F,""
"ORDENDEPAGO","PuntoDeVenta","OrdPago","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ORDENDEPAGO","Numero","OrdPago","FNUMCOMP",T,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ORDENDEPAGO","Fecha","OrdPago","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"ORDENDEPAGO","Cotizacion","OrdPago","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"ORDENDEPAGO","Deuda","OrdPago","",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ORDENDEPAGO","PuntoDeVentaCDR","OrdPago","PtoVtaCDR",F,"N",4,0,"CLAVECANDIDATA",F,"",F,"",F,""
"ORDENDEPAGO","NumeroCDR","OrdPago","NumCDR",F,"N",10,0,"CLAVECANDIDATA",F,"",F,"",F,""
"ORDENDEPAGO","Codigo","OrdPago","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"ORDENDEPAGO","OrdenDePagoDetalle","OrdPagoDet","CODIGO",T,"G",38,0,"DETALLEITEMORDENDEPAGO",F,"",F,"",F,""
"ORDENDEPAGO","Vuelto","OrdPago","FVuelto",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ORDENDEPAGO","ImpuestosComprobante","ImpODP","Codigo",T,"G",38,0,"DETALLEITEMIMPUESTOORDENDEPAGO",F,"",F,"",F,""
"ORDENDEPAGO","ValoresDetalle","ValFacComp","JJNUM",T,"G",38,0,"DETALLEITEMVALORESCOMPRA",F,"",F,"",F,""
"ORDENDEPAGO","ImpuestosManuales","OrdPago","ImpMan",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ORDENDEPAGO","Total","OrdPago","FTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"ORDENDEPAGO","Obs","OrdPago","FObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
