entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ORDENDEPRODUCCION","Codigo","ORDENPROD","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"ORDENDEPRODUCCION","Numero","ORDENPROD","Numero",T,"N",12,0,"CLAVECANDIDATA",F,"",F,"",T,""
"ORDENDEPRODUCCION","Descripcion","ORDENPROD","Descrip",T,"C",100,0,"CARACTER",F,"",T,"",F,""
"ORDENDEPRODUCCION","Modelo","ORDENPROD","Modelo",T,"C",15,0,"CODIGO",F,"MODELODEPRODUCCION",F,"",T,""
"ORDENDEPRODUCCION","Fecha","ORDENPROD","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"ORDENDEPRODUCCION","Blanco1","","",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ORDENDEPRODUCCION","CurvaDeProduccion","ORDENPROD","CurvaProd",T,"C",15,0,"CODIGO",F,"CURVADEPRODUCCION",F,"",F,""
"ORDENDEPRODUCCION","Cantidad","ORDENPROD","nCantidad",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"=1",F,""
"ORDENDEPRODUCCION","Blanco2","","",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ORDENDEPRODUCCION","ProductoFinal","ORDENPROD","Producto",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ORDENDEPRODUCCION","OrdenProcesos","ORDPPROC","CodOrden",T,"G",38,0,"DETALLEITEMORDENPROCESO",F,"",F,"",F,""
"ORDENDEPRODUCCION","Obs","ORDENPROD","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"ORDENDEPRODUCCION","OrdenCurva","ORDPCURV","CodOrden",T,"G",38,0,"DETALLEITEMORDENCURVA",F,"",F,"",F,""
"ORDENDEPRODUCCION","OrdenInsumos","ORDPINS","CodOrden",T,"G",38,0,"DETALLEITEMORDENINSUMO",F,"",F,"",F,""
"ORDENDEPRODUCCION","OrdenSalidas","ORDPSAL","CodOrden",T,"G",38,0,"DETALLEITEMORDENSALIDA",F,"",F,"",F,""
