entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PEDIDO","Cliente","ComprobanteV","FPerson",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"PEDIDO","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDO","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PEDIDO","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"PEDIDO","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"PEDIDO","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=23",F,""
"PEDIDO","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"PEDIDO","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"PEDIDO","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDO","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"PEDIDO","Turno","ComprobanteV","fTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"PEDIDO","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDO","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDO","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"PEDIDO","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"PEDIDO","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDO","FechaAltaFW","ComprobanteV","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"PEDIDO","HoraAltaFW","ComprobanteV","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"PEDIDO","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"PEDIDO","PagarEnCaja","ComprobanteV","PagaEnCaja",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDO","DataECom","ComprobanteV","DatosEComm",F,"M",0,0,"TEXTO",F,"",F,"",F,""
"PEDIDO","NroOPEcommerce","ComprobanteV","OPEcomm",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"PEDIDO","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",185,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"PEDIDO","Vendedor","ComprobanteV","FVEN",T,"C",10,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
"PEDIDO","MonedaComprobante","ComprobanteV","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"PEDIDO","ListaDePrecios","ComprobanteV","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=goParametros.Felino.Precios.ListasDePrecios.ListaDePreciosPreferente",T,""
"PEDIDO","ForPago","ComprobanteV","FPago",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"PEDIDO","Motivo","ComprobanteV","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"PEDIDO","Transportista","ComprobanteV","FTransp",T,"C",15,0,"CODIGO",F,"TRANSPORTISTA",F,"",F,""
"PEDIDO","DireccionEntrega","ComprobanteV","DirEntr",T,"C",250,0,"COMBODIRECCIONESENTREGA",F,"",F,"",F,""
"PEDIDO","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"PEDIDO","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PEDIDO","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"PEDIDO","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PEDIDO","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PEDIDO","Fecha","ComprobanteV","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"PEDIDO","Cotizacion","ComprobanteV","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"PEDIDO","FechaDeEntrega","ComprobanteV","FFCHENT",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",F,""
"PEDIDO","MercaderiaConsignacion","comprobanteV","MerConsign",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDO","SituacionFiscal","ComprobanteV","SitFiscCli",F,"N",2,0,"NUMERICO",F,"SITUACIONFISCAL",F,"=3",F,""
"PEDIDO","CUIT","ComprobanteV","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"Cliente.cuit"
"PEDIDO","FacturaDetalle","ComprobanteVDet","CODIGO",T,"G",38,0,"DETALLEITEMARTICULOSVENTAS",F,"",F,"",F,""
"PEDIDO","KitsDetalle","KITDET","CODIGO",T,"G",38,0,"DETALLEITEMKITS",F,"",F,"",F,""
"PEDIDO","AjustesPorRedondeos","ComprobanteV","FAjXRe",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDO","MontoDescuentoConImpuestos3","ComprobanteV","FMTDES3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","PorcentajeDescuento","ComprobanteV","FPODES",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"PEDIDO","Descuento","ComprobanteV","fDescu",T,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"PEDIDO","MontoDescuento3","ComprobanteV","MD3",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDO","RecargoMontoConImpuestos1","ComprobanteV","RecMnto1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PEDIDO","PromocionesDetalle","PromDet","CODIGO",T,"G",38,0,"DETALLEITEMPROMOCIONES",F,"",F,"",F,""
