entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PEDIDODECOMPRA","ComprobanteFiscal","PedCompra","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDODECOMPRA","FechaModificacion","PedCompra","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PEDIDODECOMPRA","Hora","PedCompra","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"PEDIDODECOMPRA","SimboloMonetarioComprobante","PedCompra","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"PEDIDODECOMPRA","SubtotalBruto","PedCompra","FSubTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","SubtotalNeto","PedCompra","fSubToN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","TipoComprobante","PedCompra","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=38",F,""
"PEDIDODECOMPRA","Turno","PedCompra","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"PEDIDODECOMPRA","signodemovimiento","PedCompra","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",F,""
"PEDIDODECOMPRA","ImpuestosDetalle","ImpPedComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSPEDC",F,"",F,"",F,""
"PEDIDODECOMPRA","anulado","PedCompra","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDODECOMPRA","CondicionIva","PedCompra","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"PEDIDODECOMPRA","CUIT","PedCompra","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"PEDIDODECOMPRA","IdVuelto","PedCompra","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"PEDIDODECOMPRA","DescuentoAutomatico","PedCompra","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PEDIDODECOMPRA","SubTotalConImpuestosSobreItems","PedCompra","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","SubTotalSinImpuestosSobreItems","PedCompra","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","RecargoMontoSinImpuestos","PedCompra","RecMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","RecargoMontoSinImpuestos1","PedCompra","RecMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","RecargoMontoSinImpuestos2","PedCompra","RecMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","MontoDescuentoSinImpuestos","PedCompra","DesMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","MontoDescuentoSinImpuestos1","PedCompra","DesMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","MontoDescuentoSinImpuestos2","PedCompra","DesMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","Caja","PedCompra","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"PEDIDODECOMPRA","Codigo","PedCompra","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"PEDIDODECOMPRA","TipoComprobanteRG1361","PedCompra","tcrg1361",F,"N",1,0,"COMBOXML",F,"",F,"",F,""
"PEDIDODECOMPRA","MonedaSistema","PedCompra","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"PEDIDODECOMPRA","TotalCantidad","PedCompra","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PEDIDODECOMPRA","FechaAltaFW","PedCompra","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"PEDIDODECOMPRA","HoraAltaFW","PedCompra","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"PEDIDODECOMPRA","Letra","PedCompra","FLETRA",T,"C",1,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"="X"",T,""
"PEDIDODECOMPRA","PuntoDeVentaExtendido","PedCompra","FPTOVENEXT",T,"N",5,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"PEDIDODECOMPRA","Numero","PedCompra","FNUMCOMP",T,"N",8,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"PEDIDODECOMPRA","PuntoDeVenta","PedCompra","FPTOVEN",T,"N",4,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"PEDIDODECOMPRA","Proveedor","PedCompra","FPerson",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",T,""
"PEDIDODECOMPRA","MonedaComprobante","PedCompra","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
