entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PICKING","Codigo","Picking","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"PICKING","CompAfec","CompAfe","Codigo",F,"C",38,0,"DETALLEITEMCOMPROBANTE",F,"",F,"",F,""
"PICKING","EsPreparacionDeMercaderia","Picking","PrepM",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PICKING","TipoComprobanteOrigen","Picking","CompOrigen",T,"C",40,0,"COMBOENTIDADESPICKING",F,"",F,"=alltrim(goParametros.Felino.Picking.ComprobanteDefaultParaNuevoPicking)",F,""
"PICKING","Vendedor","Picking","Vendedor",T,"C",10,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"PICKING","Cliente","Picking","FPerson",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"PICKING","ClienteDescripcion","Picking","FCLIENTE",T,"C",185,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"PICKING","Numero","Picking","Numero",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"PICKING","Fecha","Picking","Fecha",T,"D",8,0,"FECHACALENDARIO",F,"",T,"=goServicios.librerias.ObtenerFecha()",F,""
"PICKING","Obs","Picking","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"PICKING","DetalleComprobantes","DetCompPicking","Codigo",T,"G",38,0,"DETALLEITEMCOMPROBANTESPICKING",F,"",F,"",F,""
"PICKING","DetalleDiferencias","DetDifPicking","Codigo",T,"G",38,0,"DETALLEITEMDIFERENCIASPICKING",F,"",F,"",F,""
"PICKING","DetalleControlado","DetOkPicking","Codigo",T,"G",38,0,"DETALLEITEMOKPICKING",F,"",F,"",F,""
"PICKING","DetalleCoincidencias","DetConPicking","Codigo",F,"G",38,0,"DETALLEITEMCOINCIDENCIAPICKING",F,"",F,"",F,""
"PICKING","DetalleDiferenciasOriginal","DetDifOPicking","Codigo",F,"G",38,0,"DETALLEITEMDIFORIGINALPICKING",F,"",F,"",F,""
"PICKING","DetallePreparacionMercaderia","DetPrepMPicking","Codigo",F,"G",38,0,"DETALLEITEMPREPMPICKING",F,"",F,"",F,""
