entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"POS","Codigo","POS","Codigo",T,"C",10,0,"CODIGO",T,"",F,"",F,""
"POS","Dispositivo","POS","Dispositiv",F,"C",29,0,"CARACTER",F,"",F,"",F,""
"POS","Descripcion","POS","Descrip",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"POS","NumeroTerminal","POS","NroTermi",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"POS","Marca","POS","Marca",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"POS","Modelo","POS","Modelo",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"POS","ContactoSoporteTecnico","POS","Contacto",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"POS","TelefonoSoporteTecnico","POS","TelSoporte",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"POS","Integrado","POS","Integrado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"POS","Prestador","POS","Prestador",T,"C",25,0,"COMBOPRESTADOR",F,"",F,"",F,""
"POS","PagoElectronico","POS","PagoElec",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"POS","Puerto","POS","Puerto",T,"C",10,0,"COMBOPUERTOSERIE",F,"",F,"",F,""
"POS","Paquete","POS","TPaquete",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","TiempoMensaje","POS","TMensaje",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","TiempoChequeo","POS","TChequeo",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","TimeOutRecepcion","POS","TimeOutRec",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","Shopping","POS","CodShop",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","Empresa","POS","CodEmpre",T,"N",10,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","Caja","POS","NroCaja",T,"N",2,0,"NUMERICONONEGATIVO",F,"",F,"goParametros.Felino.GestionDeVentas.NumeroDeCaja",F,""
"POS","ImprimeSoloOriginal","POS","ImpOrig",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"POS","NumeroComercio","POS","NumComer",T,"N",15,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"POS","NombreComercio","POS","NomComer",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"POS","CuitComercio","POS","CuitComer",T,"C",15,0,"CUIT",F,"",F,"",F,""
"POS","PermiteTransaccionesOffLine","POS","PermiteOff",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"POS","TiempoDeEspera","POS","TiempoEsp",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"60",T,""
"POS","TiempoPorReintento","POS","TiempoRein",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"60",T,""
"POS","IdCliente","POS","IdCliente",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"POS","UsuarioMP","POS","UsuarioMP",T,"C",100,0,"COMBOUSUARIOMP",F,"",F,"",F,""
"POS","IdSecreto","POS","IdSecreto",T,"C",100,0,"CARACTER",F,"",F,"",F,""
