entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Precargaetiart","Codigo","PRECARGAETI","Codigo",F,"C",3,0,"CODIGO",T,"",F,"",F,""
"Precargaetiart","ModificacionDePrecios","","",T,"C",20,0,"CODIGO",F,"MODIFICACIONPRECIOS",F,"",F,""
"Precargaetiart","CalculoDePrecios","","",T,"N",8,0,"CODIGONUMERICO",F,"CALCULODEPRECIOS",F,"",F,""
"Precargaetiart","MovimientoDeStock","","",T,"G",38,0,"CODIGO",F,"MOVIMIENTODESTOCK",F,"",F,""
"Precargaetiart","SugerenciaCantidades","","",T,"C",23,0,"COMBOBDYAGRUPA",F,"",F,"",F,""
"Precargaetiart","ModoCargaMinimos","","",T,"N",1,0,"COMBOXML",F,"",F,"1",F,""
"Precargaetiart","ListaDePrecios","","",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=GOPARAMETROS.FELINO.PRECIOS.LISTASDEPRECIOS.LISTADEPRECIOSPREFERENTE",F,""
"Precargaetiart","SoloPreciosActualizados","","",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"Precargaetiart","IncluirCombinacionesConStock","","",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"Precargaetiart","CantidadPorArticulo","","",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"Precargaetiart","AgrupamientoDeBases","","",T,"C",23,0,"COMBOBDYAGRUPA",F,"",F,"",F,""
"Precargaetiart","ArticuloDeCorte","","",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"=GOPARAMETROS.FELINO.PRECIOS.LISTASDEPRECIOS.LISTADEPRECIOSPREFERENTE",F,""
"Precargaetiart","ImpresionEtiquetaKitPack","","",T,"N",1,0,"COMBOETIQKITPACK",F,"",F,"1",F,""
"Precargaetiart","Observacion","","",F,"M",0,0,"OBSERVACION",F,"",T,"",F,""
