entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PRECIODEARTICULO","AgregadoAlPrecio","PRECIOAR","AGREGAPRE",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRECIODEARTICULO","SobrePrecio","PRECIOAR","SOBREPRE",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRECIODEARTICULO","Codigo","PRECIOAR","CODIGO",T,"C",46,0,"CODIGO",T,"",T,"",F,""
"PRECIODEARTICULO","PrecioDirectoOriginal","PRECIOAR","PDIRORI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRECIODEARTICULO","EntidadOrigen","PRECIOAR","Entori",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"PRECIODEARTICULO","CodigoOrigen","PRECIOAR","Codori",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"PRECIODEARTICULO","Articulo","PRECIOAR","ARTICULO",T,"C",15,0,"CODIGO",F,"Articulo",F,"",T,""
"PRECIODEARTICULO","Color","PRECIOAR","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"PRECIODEARTICULO","Talle","PRECIOAR","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"PRECIODEARTICULO","ListaDePrecio","PRECIOAR","LISTAPRE",T,"C",6,0,"CODIGO",F,"ListaDePrecios",F,"",T,""
"PRECIODEARTICULO","PrecioDirecto","PRECIOAR","PDIRECTO",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRECIODEARTICULO","Bloqueo","PRECIOAR","BLOQUEO",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PRECIODEARTICULO","FechaVigencia","PRECIOAR","FECHAVIG",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha() +1",T,""
"PRECIODEARTICULO","TimestampAlta","PRECIOAR","TimestampA",F,"N",14,0,"NUMERICO",F,"",F,"",F,""
"PRECIODEARTICULO","Obs","PRECIOAR","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
