entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PROVEEDOR","Codigo","PROV","CLCOD",T,"C",10,0,"CODIGO",T,"",F,"",F,""
"PROVEEDOR","SituacionFiscal","PROV","CLIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"1",F,""
"PROVEEDOR","TipoInterno2","PROV","CLCFI",F,"N",1,0,"SINOGENERICO",F,"",F,"1",F,""
"PROVEEDOR","SitFiscalUruguay","","",T,"N",2,0,"COMBOXML",F,"",F,"2",F,""
"PROVEEDOR","CUIT","PROV","CLCUIT",T,"C",15,0,"CUITBUSQUEDA",F,"",F,"",F,""
"PROVEEDOR","RUT","PROV","RUT",T,"C",12,0,"RUT",F,"",F,"",F,""
"PROVEEDOR","TipoInterno","PROV","CLTPO",F,"N",1,0,"COMBO",F,"",F,"3",F,""
"PROVEEDOR","TipoDocumento","PROV","CLTIPODOC",T,"C",2,0,"DOCUMENTO",F,"",F,"",F,""
"PROVEEDOR","NroDocumento","PROV","CLNRODOC",T,"C",10,0,"DOCUMENTO",F,"",F,"",F,""
"PROVEEDOR","Nombre","PROV","CLNOM",T,"C",60,0,"TEXTOBUSQUEDA",F,"",T,"",F,""
"PROVEEDOR","Observacion","PROV","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"PROVEEDOR","Calle","PROV","PCALLE",T,"C",70,0,"DIRECCION",F,"",F,"",F,""
"PROVEEDOR","Numero","PROV","PNUMERO",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"PROVEEDOR","Piso","PROV","PPISO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"PROVEEDOR","Departamento","PROV","PDEPTO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"PROVEEDOR","Localidad","PROV","CLLOC",T,"C",70,0,"CARACTER",F,"",F,"",F,""
