entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REGISTRODECOSTOS","Identificador","CMVFacCompra","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"REGISTRODECOSTOS","CodComprobante","CMVFacCompra","CodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECOSTOS","NumeroInterno","CMVFacCompra","FNumInt",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"REGISTRODECOSTOS","TipoComprobante","CMVFacCompra","FactTipo",T,"N",2,0,"COMBOTIPOCOMPROBANTE",F,"",F,"=8",F,""
"REGISTRODECOSTOS","Letra","CMVFacCompra","FLetra",T,"C",2,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"REGISTRODECOSTOS","PuntoDeVentaExtendido","CMVFacCompra","FPtoVenEx",T,"N",5,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"REGISTRODECOSTOS","Numero","CMVFacCompra","FNumComp",T,"N",8,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"REGISTRODECOSTOS","PuntoDeVenta","CMVFacCompra","FPtoVen",T,"N",4,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"REGISTRODECOSTOS","Fecha","CMVFacCompra","FFecha",T,"D",8,0,"FECHACOMPROBANTEDECOMPRA",F,"",F,"",T,""
"REGISTRODECOSTOS","DescripcionComp","CMVFacCompra","FDesc",F,"C",200,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECOSTOS","Articulo","CMVFacCompra","FArticulo",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"REGISTRODECOSTOS","Color","CMVFacCompra","FColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"REGISTRODECOSTOS","Talle","CMVFacCompra","FTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"REGISTRODECOSTOS","Cantidad","CMVFacCompra","FCant",T,"N",8,2,"NUMERICO",F,"",F,"",T,""
"REGISTRODECOSTOS","Stock","CMVFacCompra","FStock",T,"N",8,2,"NUMERICO",F,"",F,"",T,""
"REGISTRODECOSTOS","Precio","CMVFacCompra","FPrecio",T,"N",15,4,"NUMERICO",F,"",F,"",T,""
"REGISTRODECOSTOS","StockAnterior","CMVFacCompra","StockAnt",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"REGISTRODECOSTOS","Ejercicio","CMVFacCompra","Ejercicio",T,"N",8,0,"CODIGONUMERICO",F,"EJERCICIO",F,"",T,""
"REGISTRODECOSTOS","BaseDeDatos","CMVFacCompra","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"=_screen.zoo.app.cSucursalActiva",T,""
"REGISTRODECOSTOS","MetodoCosteo","CMVFacCompra","Costeo",T,"C",4,0,"COMBOXML",F,"",F,"",F,""
"REGISTRODECOSTOS","TipoIngreso","CMVFacCompra","TIngreso",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECOSTOS","Obs","CMVFacCompra","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
