entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REGISTRODECUENTA","EntidadComprobante","RegCta","Entidad",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","Codigo","RegCta","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"REGISTRODECUENTA","CuentaBancaria","RegCta","CtaBanc",T,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",T,""
"REGISTRODECUENTA","NumeroCuenta","","",T,"C",18,0,"CARACTER",F,"",F,"",F,"CuentaBancaria.Numero"
"REGISTRODECUENTA","Moneda","","",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"CuentaBancaria.MonedaCuenta"
"REGISTRODECUENTA","Pendiente","RegCta","Pendiente",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REGISTRODECUENTA","Fecha","RegCta","Fecha",T,"D",8,0,"FECHA",F,"",T,"",T,""
"REGISTRODECUENTA","FechaCargaOperacion","RegCta","FechaCarga",T,"D",8,0,"FECHA",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REGISTRODECUENTA","Hora","RegCta","Hora",T,"C",5,0,"HORA",F,"",F,"=left( goservicios.libreRIAS.obtenerhora() , 5)",T,""
"REGISTRODECUENTA","Comprobante","RegCta","Comp",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","TipoValor","RegCta","TipoVal",T,"N",2,0,"COMBOTIPODEVALORES",F,"",F,"",F,""
"REGISTRODECUENTA","Identificador","RegCta","Ident",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","CodigoBanco","RegCta","CodBco",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","Importe","RegCta","Importe",T,"N",15,2,"NUMERICO",F,"",F,"",T,""
"REGISTRODECUENTA","IdComprobante","RegCta","IdComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","idValor","RegCta","idValor",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","BaseDeDatosAltaFW","RegCta","BDAltaFW",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"REGISTRODECUENTA","Observacion","RegCta","Obs",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
