entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REGISTRODEMANTENIMIENTO","Sitio","RegActiSys","cSitio",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","Estado","RegActiSys","cEstado",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","Codigo","RegActiSys","cCodigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","PuntoDeVenta","RegActiSys","cPtoventa",T,"N",4,0,"NUMEROINTERNO",F,"",F,"=goParametros.felino.Numeraciones.BocaDeExpendio",F,""
"REGISTRODEMANTENIMIENTO","Numero","RegActiSys","cNumero",T,"N",8,0,"NUMEROINTERNO",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","BaseDeDatosAltaFW","RegActiSys","BDAltaFW",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","Descripcion","RegActiSys","cDescrip",T,"C",254,0,"CARACTER",F,"",T,"",F,""
"REGISTRODEMANTENIMIENTO","Tipo","RegActiSys","cTipo",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","Registro","RegActiSys","det",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","ResultadoDeLaTarea","RegActiSys","cResultado",T,"C",254,0,"OBSERVACION",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","FechaInicio","RegActiSys","cFechaIni",T,"D",8,0,"FECHA",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","HoraInicio","RegActiSys","cHoraIni",T,"C",5,0,"HORA",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","FechaFin","RegActiSys","cFechaFin",T,"D",8,0,"FECHA",F,"",F,"",F,""
"REGISTRODEMANTENIMIENTO","HoraFin","RegActiSys","cHoraFin",T,"C",5,0,"HORA",F,"",F,"",F,""
