entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REGISTROLIQUIDACIONCONSIGNACIONES","Codigo","RegConsignacion","Codigo",T,"G",38,0,"CODIGO",T,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","BLiquida","RegConsignacion","BLiquida",F,"C",11,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","BLiquidada","RegConsignacion","BLiquidada",F,"C",11,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","IdItemLiquidado","RegConsignacion","IdItemLiq",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","Articulo","RegConsignacion","FART",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","Color","RegConsignacion","CCOLOR",F,"C",6,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","Talle","RegConsignacion","TALLE",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","AfeCant","RegConsignacion","AfeCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","Cantidad","RegConsignacion","Cantidad",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","MovimientoTipo","RegConsignacion","MovTipo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","MovimientoDescrip","RegConsignacion","MovDesc",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","ComprobanteConsignadorCodigo","RegConsignacion","CompCodigo",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","CompLiquidacionDescripcion","RegConsignacion","LiqDesc",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","CompLiquidacionCodigo","RegConsignacion","LiqCodigo",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","LiquidadoCantidad","RegConsignacion","LiqCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","CompLiquidacionIdItem","RegConsignacion","LiqIdItem",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","ComprobanteConsignatarioCodigo","RegConsignacion","ConsigCod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","ComprobanteConsignatarioDescripcion","RegConsignacion","ConsigDesc",F,"C",200,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","RemitoAfectadoCodigo","RegConsignacion","RemAfeCod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"REGISTROLIQUIDACIONCONSIGNACIONES","anulado","RegConsignacion","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
