entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REPORTEELECTRONICO","CodInt","REPOELEC","CodInt",F,"G",38,0,"CODIGO",T,"",T,"",F,""
"REPORTEELECTRONICO","Numero","REPOELEC","Numero",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"REPORTEELECTRONICO","PuntoDeVenta","REPOELEC","PtoVenta",T,"N",4,0,"NUMERICO",F,"",F,"=goServicios.Parametros.Felino.ControladoresFiscales.PuntoDeVenta",F,""
"REPORTEELECTRONICO","Fecha","REPOELEC","FAltaFW",T,"D",8,0,"FECHA",F,"",F,"=goServicios.librerias.ObtenerFecha()",F,""
"REPORTEELECTRONICO","Observacion","REPOELEC","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"REPORTEELECTRONICO","DescargaAFIP","REPOELEC","DesAFIP",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"REPORTEELECTRONICO","FechaDesdeAFIP","REPOELEC","FecDdeAFIP",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"REPORTEELECTRONICO","FechaHastaAFIP","REPOELEC","FecHtaAFIP",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"REPORTEELECTRONICO","RutaAFIP","REPOELEC","RutaAFIP",T,"C",254,0,"DIRECTORIO",F,"",F,"",F,""
"REPORTEELECTRONICO","DescargaAuditoria","REPOELEC","DesAudi",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"REPORTEELECTRONICO","TipoDescargaAuditoria","REPOELEC","TipoDes",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"REPORTEELECTRONICO","FechaDesdeAuditoria","REPOELEC","FecDdeAudi",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"REPORTEELECTRONICO","FechaHastaAuditoria","REPOELEC","FecHtaAudi",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"REPORTEELECTRONICO","NumeroDesdeAuditoria","REPOELEC","NroDdeAudi",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"REPORTEELECTRONICO","NumeroHastaAuditoria","REPOELEC","NroHtaAud",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"REPORTEELECTRONICO","RutaAuditoria","REPOELEC","RutaAudi",T,"C",254,0,"DIRECTORIO",F,"",F,"",F,""
"REPORTEELECTRONICO","Acciones","REPOELEC","ZADSFW",T,"M",0,0,"OBSERVACION4R",F,"",F,"",F,""
