entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REQUERIMIENTODECOMPRA","ComprobanteFiscal","REQCOMPRA","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","FechaModificacion","REQCOMPRA","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","Hora","REQCOMPRA","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","SimboloMonetarioComprobante","REQCOMPRA","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","SubtotalBruto","REQCOMPRA","FSubTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","SubtotalNeto","REQCOMPRA","fSubToN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","TipoComprobante","REQCOMPRA","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=42",F,""
"REQUERIMIENTODECOMPRA","Turno","REQCOMPRA","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","signodemovimiento","REQCOMPRA","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",F,""
"REQUERIMIENTODECOMPRA","ImpuestosDetalle","ImpReqComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSREQC",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","anulado","REQCOMPRA","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","CondicionIva","REQCOMPRA","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"REQUERIMIENTODECOMPRA","CUIT","REQCOMPRA","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"REQUERIMIENTODECOMPRA","IdVuelto","REQCOMPRA","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"REQUERIMIENTODECOMPRA","DescuentoAutomatico","REQCOMPRA","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","SubTotalConImpuestosSobreItems","REQCOMPRA","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","SubTotalSinImpuestosSobreItems","REQCOMPRA","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMontoSinImpuestos","REQCOMPRA","RecMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMontoSinImpuestos1","REQCOMPRA","RecMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMontoSinImpuestos2","REQCOMPRA","RecMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoSinImpuestos","REQCOMPRA","DesMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoSinImpuestos1","REQCOMPRA","DesMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoSinImpuestos2","REQCOMPRA","DesMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","Caja","REQCOMPRA","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"REQUERIMIENTODECOMPRA","Codigo","REQCOMPRA","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"REQUERIMIENTODECOMPRA","TipoComprobanteRG1361","REQCOMPRA","tcrg1361",F,"N",1,0,"COMBOXML",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MonedaSistema","REQCOMPRA","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"REQUERIMIENTODECOMPRA","TotalCantidad","REQCOMPRA","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","FechaAltaFW","ReqCompra","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"REQUERIMIENTODECOMPRA","HoraAltaFW","ReqCompra","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"REQUERIMIENTODECOMPRA","Proveedor","REQCOMPRA","FPerson",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",T,""
"REQUERIMIENTODECOMPRA","MonedaComprobante","REQCOMPRA","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"REQUERIMIENTODECOMPRA","ListaDePrecios","REQCOMPRA","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=goParametros.Felino.Precios.ListasDePrecios.ListaDePreciosPreferenteCompras",T,""
"REQUERIMIENTODECOMPRA","CondicionPagoPreferente","REQCOMPRA","CONDPAGO",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"REQUERIMIENTODECOMPRA","Motivo","REQCOMPRA","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"REQUERIMIENTODECOMPRA","Letra","REQCOMPRA","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",T,""
"REQUERIMIENTODECOMPRA","PuntoDeVenta","REQCOMPRA","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"=goServicios.Parametros.felino.Numeraciones.BocaDeExpendio",T,""
"REQUERIMIENTODECOMPRA","Numero","REQCOMPRA","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",T,""
"REQUERIMIENTODECOMPRA","Fecha","REQCOMPRA","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REQUERIMIENTODECOMPRA","Cotizacion","REQCOMPRA","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"REQUERIMIENTODECOMPRA","FechaVencimiento","REQCOMPRA","FFCHVENC",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REQUERIMIENTODECOMPRA","Remito","REQCOMPRA","NROREMITO",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","FechaFactura","REQCOMPRA","FFCHFAC",F,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REQUERIMIENTODECOMPRA","CAI","REQCOMPRA","NCAI",F,"N",14,0,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","FechaVtoCAI","REQCOMPRA","FVTOCAI",F,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REQUERIMIENTODECOMPRA","SituacionFiscal","REQCOMPRA","SitFiscPro",F,"N",2,0,"NUMERICO",F,"SITUACIONFISCAL",F,"",F,"proveedor.SituacionFiscal"
"REQUERIMIENTODECOMPRA","FacturaDetalle","REQCOMPRADET","CODIGO",T,"G",38,0,"DETALLEITEMARTICULOSREQCOMPRA",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","PorcentajeDescuento","REQCOMPRA","FPODES",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","Descuento","REQCOMPRA","fDescu",T,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","Obs","REQCOMPRA","FObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"REQUERIMIENTODECOMPRA","Vuelto","REQCOMPRA","FVuelto",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","PorcentajeDescuento1","REQCOMPRA","FPODES1",F,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoConImpuestos1","REQCOMPRA","FMTDES1",F,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","PorcentajeDescuento2","REQCOMPRA","FPODES2",F,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoConImpuestos2","REQCOMPRA","FMTDES2",F,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoConImpuestos3","REQCOMPRA","FMTDES3",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","MontoDescuentoSinImpuestos3","REQCOMPRA","DesMntoSI3",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoPorcentaje","REQCOMPRA","RecPor",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMonto","ReqCompra","MR",T,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMontoConImpuestos","ReqCompra","RecMnto",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMonto1","ReqCompra","RecMonto1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMontoConImpuestos1","REQCOMPRA","RecMnto1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REQUERIMIENTODECOMPRA","RecargoMonto2","ReqCompra","RecMonto2",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
