entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SALTODECAMPO","Codigo","SaltoDeCampo","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"SALTODECAMPO","Detalle","SaltoDeCampo","Detalle",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"SALTODECAMPO","EntidadDescripcion","SaltoDeCampo","EntDesc",F,"C",60,0,"CARACTER",F,"",F,"",T,""
"SALTODECAMPO","AtributoDescripcion","SaltoDeCampo","AtrDesc",F,"C",160,0,"CARACTER",F,"",F,"",T,""
"SALTODECAMPO","Entidad","SaltoDeCampo","Entidad",T,"C",40,0,"COMBOENTIDADESCONSALTODECAMPO",F,"",F,"",T,""
"SALTODECAMPO","Atributo","SaltoDeCampo","Atributo",F,"C",40,0,"CARACTER",F,"",F,"",T,""
"SALTODECAMPO","AtributoVirtual","","",T,"C",240,0,"COMBOATRIBUTOSCONSALTODECAMPO",F,"",F,"",T,""
"SALTODECAMPO","Obs","SaltoDeCampo","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"SALTODECAMPO","UsaEtiquetaDeFramework","SaltoDeCampo","usaetiq",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"SALTODECAMPO","PersonalizacionEtiqueta","SaltoDeCampo","persetiq",T,"C",160,0,"CARACTER",F,"",F,"",F,""
"SALTODECAMPO","UsaValorSugeridoDeFramework","SaltoDeCampo","UsaValSis",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"SALTODECAMPO","UsaValorSugeridoElementoAnterior","SaltoDeCampo","UsaVSAnt",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SALTODECAMPO","ValorSugerido","SaltoDeCampo","VSugerido",T,"C",254,0,"EXPRESIONSIMPLE",F,"",F,"",F,""
"SALTODECAMPO","Salta","SaltoDeCampo","Salta",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SALTODECAMPO","Obligatorio","SaltoDeCampo","Obliga",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SALTODECAMPO","NoObligatorioarticulospack","SaltoDeCampo","NoObligaAP",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SALTODECAMPO","Mostrar","SaltoDeCampo","Mostrar",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"SALTODECAMPO","Ocultar","SaltoDeCampo","Ocultar",T,"L",1,0,"SINOINVERTIDO",F,"",F,"",F,""
