entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SELECCHEQUETERCEROS","Codigo","SELCHEQTR","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"SELECCHEQUETERCEROS","Descripcion","SELCHEQTR","Descrip",F,"C",1,0,"DESCRIPCION",F,"",T,"",F,""
"SELECCHEQUETERCEROS","FechaDesde","SELCHEQTR","FchDesde",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"SELECCHEQUETERCEROS","FechaHasta","SELCHEQTR","FchHasta",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"SELECCHEQUETERCEROS","FchEmDesde","SELCHEQTR","FchEmiDesd",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"SELECCHEQUETERCEROS","FchEmHasta","SELCHEQTR","FchEmiHast",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"SELECCHEQUETERCEROS","NumInDesde","SELCHEQTR","NumIntDesd",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"SELECCHEQUETERCEROS","NumInHasta","SELCHEQTR","NumIntHast",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"99999999",F,""
"SELECCHEQUETERCEROS","MontoDesde","SELCHEQTR","MntoDesde",T,"N",15,0,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"SELECCHEQUETERCEROS","MontoHasta","SELCHEQTR","MntoHasta",T,"N",15,0,"EtiquetaNumericoDesdeHasta",F,"",F,"9999999.99",F,""
"SELECCHEQUETERCEROS","MonDesde","SELCHEQTR","MonDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MONEDA",F,"",F,""
"SELECCHEQUETERCEROS","MonHasta","SELCHEQTR","MonHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MONEDA",F,"ZZZZZZZZZZ",F,""
"SELECCHEQUETERCEROS","CliDesde","SELCHEQTR","ClieDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"SELECCHEQUETERCEROS","CliHasta","SELCHEQTR","CliHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"ZZZZZZZZZ",F,""
"SELECCHEQUETERCEROS","NumDesde","SELCHEQTR","NumDesde",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"SELECCHEQUETERCEROS","NumHasta","SELCHEQTR","NumHasta",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"99999999",F,""
"SELECCHEQUETERCEROS","EntFinDesde","SELCHEQTR","EntFDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"ENTIDADFINANCIERA",F,"",F,""
"SELECCHEQUETERCEROS","EntFinHasta","SELCHEQTR","EntFHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"ENTIDADFINANCIERA",F,"ZZZZ",F,""
"SELECCHEQUETERCEROS","CodValDesde","SELCHEQTR","CodValDesd",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VALOR",F,"",F,""
"SELECCHEQUETERCEROS","CodValHasta","SELCHEQTR","CodValHast",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VALOR",F,"ZZZZZZZZZ",F,""
"SELECCHEQUETERCEROS","CuitDesde","SELCHEQTR","CuitDesde",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"SELECCHEQUETERCEROS","CuitHasta","SELCHEQTR","CuitHasta",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"99999999999",F,""
"SELECCHEQUETERCEROS","Obs","SELCHEQTR","Obs",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
