entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SERVICIOREST","Codigo","SERVREST","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",F,""
"SERVICIOREST","Descripcion","SERVREST","Descrip",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"SERVICIOREST","Obs","SERVREST","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"SERVICIOREST","Puerto","SERVREST","Puerto",T,"N",5,0,"NUMERICO",F,"",F,"8008",F,""
"SERVICIOREST","Puesto","SERVREST","puesto",T,"C",50,0,"COMBOPUESTOS",F,"",F,"=goServicios.Librerias.ObtenerNombrePuesto()",F,""
"SERVICIOREST","Activo","SERVREST","activo",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"SERVICIOREST","BaseDeDatos","SERVREST","BaseDatos",T,"C",8,0,"COMBOBASEDEDATOS",F,"",F,"=_screen.zoo.app.cSucursalActiva",F,""
"SERVICIOREST","CajaActiva","SERVREST","Caja",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"goParametros.Felino.GestionDeVentas.NumeroDeCaja",F,""
"SERVICIOREST","LogueosHasta","SERVREST","LogHasta",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"SERVICIOREST","PercepcionesACtaCte","SERVREST","PercCtaCte",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SERVICIOREST","Valor","SERVREST","Valor",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"SERVICIOREST","ImpresoraPredeterminada","SERVREST","impresora",T,"C",240,0,"COMBOIMPRESORAS",F,"",F,"@ObtenerImpresoraPredeterminadaDelSistema()",F,""
"SERVICIOREST","TipoComprobante","SERVREST","tipoComp",F,"C",40,0,"COMBOCOMPROBANTESREST",F,"",F,"",F,""
"SERVICIOREST","OrigenComprobante","SERVREST","origComp",T,"N",2,0,"COMBOXML",F,"",F,"0",F,""
"SERVICIOREST","OcultarVentasEnApp","SERVREST","ocVtas",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SERVICIOREST","dominiosCORS","SERVRESTCORS","Codigo",F,"G",38,0,"DETALLEITEMDOMINIOSCORS",F,"",F,"",F,""
