entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"STOCKCOMBINACION","Articulo","COMB","COART",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"STOCKCOMBINACION","Codigo","COMB","COCOD",F,"C",26,0,"CODIGO",T,"",F,"",F,""
"STOCKCOMBINACION","Color","COMB","COCOL",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"STOCKCOMBINACION","Talle","COMB","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"STOCKCOMBINACION","DescripcionComprobante","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"STOCKCOMBINACION","Cantidad","COMB","COCANT",T,"N",15,2,"NUMERICO",F,"",T,"",F,""
"STOCKCOMBINACION","DiferenciaEntreStockYReposicion","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","DiferenciaEntreStockYCantidadComb","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","CantidadOriginal","COMB","CORIG",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","MinReposicion","COMB","MinRepo",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","MaxReposicion","COMB","MaxRepo",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EnTransito","COMB","EnTransito",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EnTransitoOriginal","COMB","EnTranOrig",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EntregaPen","COMB","EntregaPen",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EntregaPenOriginal","COMB","cOrigEntre",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
