entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SUCURSAL","Codigo","suc","codigo",T,"C",10,0,"CODIGO",T,"",F,"",F,""
"SUCURSAL","Descripcion","suc","descrip",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"SUCURSAL","Observaciones","suc","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"SUCURSAL","Calle","suc","calle",T,"C",70,0,"DIRECCION",F,"",F,"",F,""
"SUCURSAL","Numero","suc","Numero",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"SUCURSAL","Piso","suc","piso",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"SUCURSAL","Departamento","suc","Departam",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"SUCURSAL","Localidad","suc","Locali",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"SUCURSAL","CodigoPostal","suc","CP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Provincia","suc","provin",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"SUCURSAL","Pais","suc","pais",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"SUCURSAL","Ubicacion","suc","Ubicacion",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Telefono","suc","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","EMail","suc","CLEMAIL",T,"C",250,0,"MAIL",F,"",F,"",F,""
"SUCURSAL","tipo","suc","Tipo",T,"C",10,0,"CODIGO",F,"TIPOSUCURSAL",F,"",F,""
"SUCURSAL","Linea","suc","Linea",T,"C",10,0,"CODIGO",F,"LINEASUCURSAL",F,"",F,""
"SUCURSAL","Segmentacion","suc","seg",T,"C",10,0,"CODIGO",F,"SEGMENTACION",F,"",F,""
"SUCURSAL","MetrosCuadrados","suc","m2",T,"N",6,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"SUCURSAL","Horario","suc","horario",T,"C",100,0,"CARACTER",F,"",F,"",F,""
