entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TALLER","Codigo","TALLER","Codigo",T,"C",15,0,"CODIGO",T,"",F,"",T,""
"TALLER","Descripcion","TALLER","Descrip",T,"C",100,0,"CARACTER",F,"",T,"",F,""
"TALLER","TipoTaller","TALLER","Tipo",T,"N",2,0,"COMBOSERVICIOPRODUCCION",F,"",F,"=1",F,""
"TALLER","Proveedor","TALLER","Proveedor",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"TALLER","Inventario","TALLER","Inventario",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"TALLER","ListaDeCosto","TALLER","ListaCosto",T,"C",6,0,"CODIGO",F,"LISTADECOSTOSDEPRODUCCION",F,"",F,""
"TALLER","InsumoEnLiquidacion","TALLER","Insumos",T,"N",2,0,"COMBOSERVICIOPRODUCCION",F,"",F,"",F,""
"TALLER","DescarteEnLiquidacion","TALLER","Descartes",T,"N",2,0,"COMBOSERVICIOPRODUCCION",F,"",F,"",F,""
"TALLER","Obs","TALLER","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"TALLER","Procesos","TALLERPROC","CodProc",T,"C",15,0,"DETALLEITEMTALLERPROCESO",F,"",F,"",F,""
