entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TIDIFERENCIASDEINVENTARIODETALLE","Obs","TIDifInvDet","Obs",T,"C",20,0,"OBSERVACION",F,"",T,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Numero","TIDifInvDet","Numero",T,"N",9,0,"CLAVECANDIDATA",F,"",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Codigo","TIDifInvDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","IDCabecera","TIDifInvDet","IDCABECERA",T,"N",8,0,"CODIGONUMERICO",F,"TIDiferenciasDeInventario",F,"",T,""
"TIDIFERENCIASDEINVENTARIODETALLE","Tipo","TIDifInvDet","TIPO",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Articulo","TIDifInvDet","ART",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"TIDIFERENCIASDEINVENTARIODETALLE","Color","TIDifInvDet","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Talle","TIDifInvDet","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Diferencia","TIDifInvDet","DIFERENCIA",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"TIDIFERENCIASDEINVENTARIODETALLE","Rechazado","TIDifInvDet","Rechazado",F,"L",1,0,"COMBOXML",F,"",F,"=.F.",F,""
