entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TIPODECOMPROBANTEDECOMPRA","LetraCompOrigen","","",T,"C",1,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","PtoVtaExtCompOrigen","","",T,"N",5,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","NroCompOrigen","","",T,"N",8,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"TIPODECOMPROBANTEDECOMPRA","TipoCompOrigen","TipoCompCom","TipoCompOr",T,"N",3,0,"comboTipoDeComprobanteDeCompra",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","PtoVtaCompOrigen","","",T,"N",4,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","CodigoOperacion","TipoCompCom","CodOpe",T,"C",1,0,"COMBOXML",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","Codigo","TipoCompCom","Codigo",F,"G",38,0,"CODIGO",T,"",T,"",F,""
"TIPODECOMPROBANTEDECOMPRA","CodigoCompOrigen","TipoCompCom","CodigoCOr",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","Despacho","TipoCompCom","Despacho",T,"C",16,0,"CODIGO",F,"DESPACHODEIMPORTACION",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","AnoDespacho","TipoCompCom","AnoDespa",T,"C",4,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","CodigoDeAduana","TipoCompCom","CodAduana",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","TipoDeDestino","TipoCompCom","TipoDestin",T,"C",4,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","NroDespacho","TipoCompCom","NroDespa",T,"C",6,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","DigitoVerificador","TipoCompCom","DigVerif",T,"C",1,0,"CARACTER",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","PorcentajeDeIVALiqA","TipoCompCom","PorLiquiA",T,"N",5,2,"NUMERICO",F,"",F,"",F,""
"TIPODECOMPROBANTEDECOMPRA","MontoDeIvaLiqA","TipoCompCom","IvaLiquiA",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
