entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TIQUETDECAMBIO","Codigo","TICKETCAMBIO","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"TIQUETDECAMBIO","DetalleComprobante","TICKETCAMBIODET","Codigo",T,"G",38,0,"DETALLEITEMTIQUETDECAMBIO",F,"",F,"",F,""
"TIQUETDECAMBIO","Obs","TICKETCAMBIO","tObs",F,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"TIQUETDECAMBIO","Fecha","TICKETCAMBIO","tFecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"TIQUETDECAMBIO","Letra","TICKETCAMBIO","tLetra",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"TIQUETDECAMBIO","PuntoDeVenta","TICKETCAMBIO","tPVenta",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"TIQUETDECAMBIO","Numero","TICKETCAMBIO","tNumero",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"TIQUETDECAMBIO","Cliente","TICKETCAMBIO","tCliente",F,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"TIQUETDECAMBIO","ClienteDescripcion","TICKETCAMBIO","tCliDes",F,"C",185,0,"CARACTER",F,"",F,"",F,"Cliente.Nombre"
"TIQUETDECAMBIO","CUIT","TICKETCAMBIO","tCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"Cliente.cuit"
"TIQUETDECAMBIO","Hora","TICKETCAMBIO","tHora",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"TIQUETDECAMBIO","Vendedor","TICKETCAMBIO","tVende",F,"C",10,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
"TIQUETDECAMBIO","TipoComprobante","TICKETCAMBIO","TipoComp",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"TIQUETDECAMBIO","NroArt","TICKETCAMBIO","tNroArt",F,"C",5,0,"NUMERICO",F,"",F,"",F,""
"TIQUETDECAMBIO","CantArt","TICKETCAMBIO","tCantArt",F,"C",10,0,"NUMERICO",F,"",F,"",F,""
