entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TRANSFERENCIAENTRECUENTAS","Codigo","TranCtas","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","Numero","TranCtas","Numero",T,"N",10,0,"CLAVEDEBUSQUEDA",F,"",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","FechaIngreso","TranCtas","Ingreso",T,"D",8,0,"FECHA",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"TRANSFERENCIAENTRECUENTAS","Descripcion","TranCtas","Descri",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CuentaBancariaTransfiere","TranCtas","CtaTran",T,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","MonedaCuentaTransfiere","","",T,"C",10,0,"CARACTER",F,"",F,"",F,"CuentaBancariaTransfiere.MonedaCuenta_pk"
"TRANSFERENCIAENTRECUENTAS","FechaTransfiere","TranCtas","FecTran",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","HoraTransfiere","TranCtas","HoraTran",T,"C",5,0,"HORA",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","MontoTransfiere","TranCtas","MontoTra",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","IdentificadorTransfiere","TranCtas","IdTran",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CodigoTransfiere","TranCtas","CodTran",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","IDRegistroTransfiere","TranCtas","RegTran",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CotizacionMonedaTransfiere","TranCtas","CotTra",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","TransfiereAlCambio","TranCtas","TraPesos",F,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CuentaBancariaRecibe","TranCtas","CtaRec",T,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","MonedaCuentaRecibe","","",T,"C",10,0,"CARACTER",F,"",F,"",F,"CuentaBancariaRecibe.MonedaCuenta_pk"
"TRANSFERENCIAENTRECUENTAS","FechaRecibe","TranCtas","FecRec",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","HoraRecibe","TranCtas","HoraRec",T,"C",5,0,"HORA",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","MontoRecibe","TranCtas","MontoRec",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",T,""
"TRANSFERENCIAENTRECUENTAS","IdentificadorRecibe","TranCtas","IdRec",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CodigoRecibe","TranCtas","CodRec",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","IDRegistroRecibe","TranCtas","RegRec",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","CotizacionMonedaRecibe","TranCtas","CotRec",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","RecibeAlCambio","TranCtas","RecPesos",F,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"TRANSFERENCIAENTRECUENTAS","Observacion","TranCtas","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
