entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TRANSPORTISTA","Codigo","TRA","TRCOD",T,"C",15,0,"CODIGO",T,"",F,"",T,""
"TRANSPORTISTA","FechaUltimaModificacion","TRA","CD1",F,"D",8,0,"FECHA",F,"",F,"",F,""
"TRANSPORTISTA","Nombre","TRA","TRNOM",T,"C",30,0,"DESCRIPCION",F,"",T,"",T,""
"TRANSPORTISTA","Observacion","TRA","TROBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"TRANSPORTISTA","Calle","TRA","TRCalle",T,"C",70,0,"DIRECCION",F,"",F,"",F,""
"TRANSPORTISTA","Numero","TRA","TRNro",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"TRANSPORTISTA","Piso","TRA","TRPiso",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"TRANSPORTISTA","Departamento","TRA","TRDEPTO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"TRANSPORTISTA","Localidad","TRA","TRLOC",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"TRANSPORTISTA","CodigoPostal","TRA","TRCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"TRANSPORTISTA","Provincia","TRA","TRPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"TRANSPORTISTA","Pais","TRA","TRPAIS",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"TRANSPORTISTA","Telefono","TRA","TRTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSPORTISTA","Movil","TRA","TRMovil",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"TRANSPORTISTA","Fax","TRA","TRFAX",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"TRANSPORTISTA","EMail","TRA","TREMAIL",T,"C",250,0,"MAIL",F,"",F,"",F,""
"TRANSPORTISTA","PaginaWeb","TRA","TRPAGEWEB",T,"C",60,0,"WEB",F,"",F,"",F,""
"TRANSPORTISTA","Messenger","TRA","TRMSN",T,"C",250,0,"MAIL",F,"",F,"",F,""
"TRANSPORTISTA","Imagen","TRA","TIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"TRANSPORTISTA","SituacionFiscal","TRA","TRIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"3",F,""
"TRANSPORTISTA","Cuit","TRA","TRCUIT",T,"C",15,0,"CUIT",F,"",F,"",F,""
"TRANSPORTISTA","TipoDocumento","TRA","TRTIPODOC",T,"C",2,0,"DOCUMENTO",F,"",F,"",F,""
"TRANSPORTISTA","NroDocumento","TRA","TRNRODOC",T,"C",10,0,"DOCUMENTO",F,"",F,"",F,""
"TRANSPORTISTA","VehiculoDetalle","VehiculoDet","Codigo",T,"G",38,0,"DETALLEITEMVEHICULO",F,"",F,"",F,""
