entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"VALEDECAMBIO","Hora","VALCAMBIO","CHORA",F,"C",8,0,"CARACTER",F,"",F,"=golibrerias.obtenerhora()",F,""
"VALEDECAMBIO","Saldo","VALCAMBIO","Saldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","Articulo","VALCAMBIO","Articulo",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","Codigo","VALCAMBIO","CCOD",T,"C",38,0,"CODIGOVALEDECAMBIO",T,"",F,"",T,""
"VALEDECAMBIO","PuntoDeVenta","VALCAMBIO","ptoventa",F,"N",4,0,"NUMERICO",F,"",F,"=goParametros.felino.Numeraciones.BocaDeExpendio",F,""
"VALEDECAMBIO","Numero","VALCAMBIO","numero",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","Monto","VALCAMBIO","CMONTO",T,"N",15,2,"NUMERICO",F,"",F,"",T,""
"VALEDECAMBIO","Tipo","VALCAMBIO","Tipo",T,"C",15,0,"COMBOXML",F,"",F,"",T,""
"VALEDECAMBIO","Valor","VALCAMBIO","Valor",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","SimboloMonetario","VALCAMBIO","MONEDA",F,"C",10,0,"CARACTER",F,"",F,"=goServicios.Parametros.Felino.Generales.MonedaSistema",F,""
"VALEDECAMBIO","Fecha","VALCAMBIO","CFECHA",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",T,""
"VALEDECAMBIO","FechaVencimiento","VALCAMBIO","CFECHAVENC",T,"D",8,0,"FECHACALENDARIO",F,"",F,"@ObtenerFechaDeVencimiento()",F,""
"VALEDECAMBIO","Obs","VALCAMBIO","COBSS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"VALEDECAMBIO","ClienteOrigen","VALCAMBIO","cCliente",T,"C",200,0,"CARACTER",F,"",T,"",F,""
"VALEDECAMBIO","CodigoComprobanteOrigen","VALCAMBIO","cCodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","CodigoComprobanteDestino","VALCAMBIO","cCodCompd",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","ComprobanteOrigen","VALCAMBIO","CCOMPORI",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","FechaOrigen","VALCAMBIO","CFCHORIG",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",T,""
"VALEDECAMBIO","SignoDeMovimientoOrigen","VALCAMBIO","cSigno",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","SignoDeMovimientoDestino","VALCAMBIO","cSignod",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","Email","VALCAMBIO","Email",T,"C",250,0,"MAIL",F,"",F,"",F,""
"VALEDECAMBIO","SerieOrigen","VALCAMBIO","CSERIE",T,"C",10,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSerie",T,""
"VALEDECAMBIO","UsuarioOrigen","VALCAMBIO","CUSUARIO",T,"C",100,0,"CARACTER",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",T,""
"VALEDECAMBIO","BDOrigen","VALCAMBIO","CBDORIG",T,"C",8,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSucursalActiva",T,""
"VALEDECAMBIO","TipoDeComprobanteOrigen","VALCAMBIO","cTipC",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","TipoDeComprobanteDestino","VALCAMBIO","cTipCd",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","SerieDestino","VALCAMBIO","CSERIED",T,"C",10,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","LetraOrigen","VALCAMBIO","clet",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","LetraDestino","VALCAMBIO","cletd",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","UsuarioDestino","VALCAMBIO","CUSUARIOD",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","PuntoDeVentaOrigen","VALCAMBIO","cptovta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","PuntoDeVentaDestino","VALCAMBIO","cptovtad",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","BDDestino","VALCAMBIO","CBDDEST",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","NumeroOrigen","VALCAMBIO","cnum",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","NumeroDestino","VALCAMBIO","cnumd",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"VALEDECAMBIO","ClienteDestino","VALCAMBIO","cClienteD",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","ComprobanteDestino","VALCAMBIO","CCOMPDES",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"VALEDECAMBIO","FechaDestino","VALCAMBIO","CFCHDEST",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"VALEDECAMBIO","Reutilizable","VALCAMBIO","Reutiliza",F,"l",1,0,"SINOBOOL",F,"",F,"",F,""
"VALEDECAMBIO","ComprobanteDetalle","VALCAMBIODET","Codigo",T,"C",38,0,"DETALLEITEMVALEDECAMBIO",F,"",F,"",F,""
