entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"VALOR","Codigo","XVAL","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"VALOR","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VALOR","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VALOR","Descripcion","XVAL","CLNOM",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"VALOR","Observacion","XVAL","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"VALOR","ValoresLince","XVAL","vallince",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"VALOR","Clasificacion","XVAL","CLCLAS",F,"C",10,0,"CODIGO",F,"CLASIFICACIONCLIENTE",F,"",F,""
"VALOR","TipoEndosable","","",F,"N",1,0,"TIPOVALORENDOSABLE",F,"",F,"",F,""
"VALOR","Tipo","XVAL","CLCFI",T,"N",2,0,"COMBOTIPODEVALORES",F,"",F,"",T,""
"VALOR","SimboloMonetario","XVAL","CLSMONET",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"VALOR","VisualizarEnCaja","XVAL","ClVisualiz",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","Grupo","XVAL","CLGRUP",T,"C",5,0,"CODIGO",F,"GRUPOVALOR",F,"",F,""
"VALOR","PermiteVuelto","XVAL","pervuelto",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"VALOR","Caja","XVAL","IdCaja",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"VALOR","PersonalizarComprobante","XVAL","PersoComp",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","ArrastraSaldo","XVAL","noarrastra",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","Descuento","XVAL","CLDESCP",T,"N",5,2,"DESCUENTOVALOR",F,"",F,"",F,""
"VALOR","NoAplicarEnRecibos","XVAL","NoApliRc",T,"L",1,0,"DESCUENTOVALOR",F,"",F,"=.F.",F,""
"VALOR","ArqueoPorTotales","XVAL","ArqTot",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"VALOR","BloqueaModificacionDescripcion","XVAL","BloModDes",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","PermiteModificarFecha","XVAL","MODIFECHA",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","ModoRedondeo","XVAL","ModoRedon",T,"N",1,0,"COMBOXML",F,"",F,"=1",F,""
"VALOR","Redondeo","XVAL","Redondeo",T,"C",10,0,"CODIGO",F,"REDONDEODEPRECIOS",F,"",F,""
"VALOR","OperadoraTarjeta","XVAL","opetar",T,"C",15,0,"CODIGO",F,"OPERADORADETARJETA",F,"",F,""
"VALOR","Recargo","XVAL","clrecargo",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"VALOR","TipoTarjeta","XVAL","tipotarj",T,"C",1,0,"COMBOTIPOTARJETA",F,"",F,"",F,""
"VALOR","DetallePlanes","TARJEDET","Cod",T,"C",15,0,"DETALLEITEMPLANDECUOTA",F,"",F,"",F,""
"VALOR","DetalleAcreditacionPlanes","TARJEACREDET","Cod",F,"C",15,0,"DETALLEITEMACREDITACIONDEPLAN",F,"",F,"",F,""
"VALOR","PagueseA","XVAL","Paguesea",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"VALOR","ChequeElectronico","XVAL","Electro",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"VALOR","Leyenda","XVAL","leyenda",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"VALOR","BcoADep","XVAL","bcoadep",F,"C",5,0,"CODIGO",F,"ENTIDADFINANCIERA",F,"",F,""
"VALOR","CtaCteADep","XVAL","ccadep",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"VALOR","ImprimeChequeCFiscal","XVAL","ImprChqCF",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"VALOR","EquivCfEpson","XVAL","EqEpson",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
"VALOR","EquivCfIBM","XVAL","EqIBM",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
"VALOR","Facturaelectronica","XVAL","factelec",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"VALOR","Prestador","XVAL","Prestador",T,"C",25,0,"COMBOPRESTADOR",F,"",F,"",F,""
"VALOR","TipoTarjetaPoint","","",F,"C",1,0,"COMBOTIPOTARJETA",F,"",F,"",F,""
"VALOR","CuentaBancaria","XVAL","CTABANC",T,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",T,""
"VALOR","HabilitarRetiroEfectivo","XVAL","RetiraEfec",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","MontoMaximoDeRetiro","XVAL","MntoMaxRet",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"VALOR","ValorParaRetiroDeEfectivo","XVAL","ValorRetEf",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"VALOR","ValorDeAcreditacion","XVAL","ValorAcred",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
