entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"VENDEDOR","Codigo","VEN","CLCOD",T,"C",10,0,"CODIGO",T,"",F,"",F,""
"VENDEDOR","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VENDEDOR","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VENDEDOR","Nombre","VEN","CLNOM",T,"C",60,0,"DESCRIPCION",F,"",T,"",F,""
"VENDEDOR","Observacion","VEN","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"VENDEDOR","Calle","VEN","CLDIR",T,"C",70,0,"DIRECCION",F,"",F,"",F,""
"VENDEDOR","Numero","VEN","CLNUM",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"VENDEDOR","Piso","VEN","CLPISO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"VENDEDOR","Departamento","VEN","CLDEPTO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"VENDEDOR","Localidad","VEN","CLLOC",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"VENDEDOR","CodigoPostal","VEN","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"VENDEDOR","Provincia","VEN","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"VENDEDOR","Pais","VEN","PPAIS",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"VENDEDOR","Telefono","VEN","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"VENDEDOR","Movil","VEN","CLTLFM",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"VENDEDOR","EMail","VEN","CLEMAIL",T,"C",250,0,"MAIL",F,"",F,"",F,""
"VENDEDOR","Imagen","VEN","CIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"VENDEDOR","FechaNacimiento","VEN","CLFECHA",T,"D",8,0,"FECHALARGACALENDARIO",F,"",F,"",F,""
"VENDEDOR","TipoDocumento","VEN","CLTIPODOC",T,"C",2,0,"DOCUMENTO",F,"",F,"",F,""
"VENDEDOR","NroDocumento","VEN","CLNRODOC",T,"C",10,0,"DOCUMENTO",F,"",F,"",F,""
"VENDEDOR","FechaIngreso","VEN","CLFING",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"VENDEDOR","FechaEgreso","VEN","CLFEGR",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"VENDEDOR","DescMaxDetalleFacturas","VEN","CLPUN1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"VENDEDOR","DescMaxTotalFacturas","VEN","CLPUN2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"VENDEDOR","Clasificacion","VEN","CLAS",T,"C",10,0,"CODIGO",F,"CLASIFICACIONVENDEDOR",F,"",F,""
"VENDEDOR","DescuentoPreferente","VEN","CLDESC",T,"C",10,0,"CODIGO",F,"DESCUENTO",F,"",F,""
"VENDEDOR","ComisionesDetalle","DetComVen","Codigo",T,"C",10,0,"DETALLEITEMCOMISIONVENDEDOR",F,"",F,"",F,""
