entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"COLOR","Colores","Colores","E","","",T
"PAISES","Países","Países","E","","",T
"PROVINCIA","Provincias","Provincias","E","","",T
"VENDEDOR","Vendedores","Vendedores","E","","",T
"ARTICULO","Artículos","Artículos","E","","",T
"PROVEEDOR","Proveedores","Proveedores","E","","",T
"MONEDA","Monedas","Monedas","E","","",T
"VALOR","Valores","Valores","E","","",T
"GRUPOVALOR","Agrupamiento de valores","Grupos de valores","E","","",T
"CONCEPTOCAJA","Conceptos","Conceptos","E","","",T
"LISTADEPRECIOS","Listas de precios","Listas de precios","E","","",T
"CLIENTE","Clientes","Clientes","E","","",T
"ENTIDADFINANCIERA","Entidades financieras","Entidades financieras","E","","",T
"MOTIVO","Motivos","Motivos","E","","",T
"ORIGENDEDATOS","Orígenes de datos","Orígenes de datos","E","","",T
"ITEMMONEDA","Item del detalle de moneda","Línea detalle moneda","I","","",F
"Factura","Factura manual de venta","Factura manual de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Itemvalores","Items de valores","Línea detalle valores","I","VALORESVENTA","",F
"Itemimpuestos","Items de impuestos","","I","IMPUESTOS","",F
"Agrupamiento","Agrupamientos de bases de datos","Agrupamientos de bases de datos","E","","",T
"Itembasededatos","Item de bases de datos","Item de bases de datos","I","","",F
"Itemagrupamiento","Item de agrupamientos","Item de agrupamientos","I","","",F
"AGRUPAMIENTOPORCOMPANIA","Agrupamientos de bases de datos por compania","Agrupamientos de bases de datos por compania","E","","",F
"ItembasededatosPorComp","Item de bases de datos por compania","Item de bases de datos por compania","I","","",F
"ItemagrupamientoPorComp","Item de agrupamientos por compania","Item de agrupamientos por compania","I","","",F
"Material","Materiales","Materiales de artículos","E","","",T
"Talonario","Talonarios","Talonarios","E","","",T
"Numeraciones","Numeraciones","Numeraciones","E","","",T
"Itemtalonario","Item Talonario","Item talonario","I","","",F
"COMPROBANTEDECAJA","Comprobantes de caja","Comprobantes de caja","E","Ent_ComprobanteDeFondos","ComprobanteDeFondos",T
"ITEMVALORESCAJA","Items de valores para movimientos de caja","","I","ValoresFondos","",F
"Notadecredito","Nota de crédito manual de venta","Nota de crédito manual de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Notadedebito","Nota de débito manual de venta","Nota de débito manual de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Ticketfactura","Factura fiscal de venta","Factura fiscal de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Ticketnotadecredito","Nota de crédito fiscal de venta","Nota de crédito fiscal de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Ticketnotadedebito","Nota de débito fiscal de venta","Nota de débito fiscal de venta","E","EntColorytalle_ComprobanteDeVentasConValores","ComprobanteDeVentasConValores",T
"Stockarticulos","Stock de artículos","Stock de artículos","E","Ent_stock","",F
