componente,descripcion,graba,version_exe,version_zoo,version_cli,entidad,orden,combinacion,componentesrelacionados,herencia
"Valores","Componente Vallores",T,0.00,0,0,"",7,"","",""
"Descuentos","Componente Descuentos",F,0.00,0,0,"",9,"","",""
"CanjeDeCupones","Componente Canje de Cupones",T,0.00,0,0,"",21,"","",""
"Retenciones","Retenciones",T,0.00,0,0,"",23,"","RetencionesIIBB,RetencionesIVA,RetencionesGanancias,RetencionesSUSS",""
"DatosAdicionalesSIPRIB","Componente Datos adicionales SIPRIB",T,0.00,0,0,"",40,"","",""
"KitDeArticulos","Componente Kit de Articulos",F,0.00,0,0,"",43,"","",""
"CuentaBancariaValores","Componente Cuenta Bancaria Valores",T,0.00,0,0,"",44,"","","ComponenteCuentaBancariaBase"
"CuentaBancariaTransferencia","Componente Cuenta Bancaria Transferencia entre Cuientas",T,0.00,0,0,"",45,"","",""
"CuentaBancariaBase","Componente Cuenta Bancaria Base",T,0.00,0,0,"",46,"","",""
"CuentaBancariaComprobanteCaja","Componente Cuenta Bancaria Comproabnte de Caja",T,0.00,0,0,"",47,"","","ComponenteCuentaBancariaBase"
"CuentaBancariaLiquidacionMensual","Componente Cuenta Bancaria Liquidacion Mensual",T,0.00,0,0,"",48,"","","ComponenteCuentaBancariaBase"
"CuentaBancariaDescargaDeCheques","Componente Cuenta Bancaria Descarga de Cheques",T,0.00,0,0,"",49,"","","ComponenteCuentaBancariaBase"
"RegistroLiquidacionConsignaciones","Componente",T,0.00,0,0,"",51,"","",""
"CuentaBancariaChequesPropios","Componente Cuenta Bancaria Cheques Propios",T,0.00,0,0,"",52,"","","ComponenteCuentaBancariaBase"
"ChequesPropiosConciliaciones","Componente Cheques Propios en Conciliaciones",T,0.00,0,0,"",53,"","","ComponenteChequesPropios"
"CostoMercaderiaVendida","Componente Costo Mercadería Vendida",T,0.00,0,0,"APERTURAEJERCICIO,CIERREEJERCICIO",63,"","",""
"ArqueoDeCaja","Componente Arqueo de caja",T,0.00,0,0,"ARQUEODECAJA,COMPROBANTEDECAJA",41,"","",""
"Asiento","Componente Asiento",T,0.00,0,0,"ASIENTO",36,"","",""
"AccionesAutomaticasParaDatosFiscales","Componente de Acciones Automaticas para Datos Fiscales",T,0.00,0,0,"AccionesAutomaticas",34,"","",""
"AjusteDeCupones","Ajuste de Cupones",T,0.00,0,0,"AjusteDeCupon",24,"","",""
"FacturacionElectronica","Componente Facturacion Electronica",F,0.00,0,0,"CAE",16,"","",""
"FacturacionElectronicaExportacion","Componente Facturacion Electronica Exportacion",F,0.00,0,0,"CAE",17,"","",""
"RetencionesRecibidas","Componente Retenciones Recibidas",T,0.00,0,0,"COMPROBANTEDERETENCIONRECIBIDO",35,"","",""
"Asientos","Componente Asientos",T,0.00,0,0,"CONTABILIZACION,CIERREEJERCICIO",37,"","",""
"caja","Componente Caja",T,0.00,0,0,"CajaSaldos,MovimientoDeCaja",3,"","",""
"Cajero","Componente Cajero",T,0.00,0,0,"CajaSaldos,MovimientoDeCaja",6,"","CuentaCorrienteValores,Valores,ValesDeCambio,ChequesDeTerceros,TarjetaDeCredito,ChequesPropios,AjusteDeCupones,CuentaBancariaValores",""
"AjustesDeCaja","Componente Ajustes de Caja",T,0.00,0,0,"CajaSaldos,MovimientoDeCaja",27,"","",""
"Cheques","Componente Cheques",F,0.00,0,0,"Cheque",13,"Cheque","","ComponenteValores"
"DescargaDeCheques","Componente Descarga De Cheques",T,0.00,0,0,"Cheque",29,"","","ComponenteChequesDeTerceros"
"ChequesDeTerceros","Componente Cheques de Terceros",T,0.00,0,0,"Cheque",13,"Cheque","","ComponenteCheques"
"ChequesPropios","Componente Cheques Propios",T,0.00,0,0,"ChequePropio",20,"ChequePropio","","ComponenteCheques"
"RetencionesIIBB","Componente Retenciones de Ingresos Brutos",T,0.00,0,0,"ComprobanteDeRetenciones",30,"","","RetencionesBase"
"RetencionesGanancias","Componente Retenciones de Ganancias",T,0.00,0,0,"ComprobanteDeRetencionesGanancias",32,"","","RetencionesBase"
"RetencionesIVA","Componente Retenciones de IVA",T,0.00,0,0,"ComprobanteDeRetencionesIVA",31,"","","RetencionesBase"
"RetencionesSUSS","Componente Retenciones de SUSS",T,0.00,0,0,"ComprobanteDeRetencionesSUSS",33,"","","RetencionesBase"
"ConciliacionesCheques","Componente Conciliaciones de Cheques",T,0.00,0,0,"Conciliaciones,HerramientaConciliacion",61,"","",""
"LimitesDeConsumo","Componente Limites de Consumo",T,0.00,0,0,"ConsumoCliente",11,"ConsumoCliente","",""
"CostosProduccion","Comoponente Costos de Producción",T,0.00,0,0,"CostoDeInsumo",62,"","",""
"CuentaCorriente","Componente Cuenta Corriente",T,0.00,0,0,"CtaCte",4,"ctacte","",""
"CtaCteItemRecibo","Componente CtaCte Item Recibo",T,0.00,0,0,"CtaCte",5,"CtaCte","","CuentaCorrienteVentasBase"
"CuentaCorrienteValoresVentas","Componente CtaCte Valores Ventas",T,0.00,0,0,"CtaCte",8,"CtaCte","","CuentaCorrienteVentasBase"
"CuentaCorrienteValores","Componente Cuenta Corriente Valores",T,0.00,0,0,"CtaCte",17,"CtaCte","CuentaCorrienteValoresVentas,CuentaCorrienteValoresCompras",""
