entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","SUIOPTQDGHJKLMWN","","",""
"ANGUILA","Anguila","Anguila","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","ANG","B","","",""
"ANIMALEQUIVALENTE","Animal equivalente","Animales equivalentes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","ANQ","B","","",""
"Accionesautomaticas","Acciones automáticas","Acciones automáticas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","B","","",""
"Agrupamiento","Agrupamientos de Bases de Datos","Agrupamientos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","AGR","B","","",""
"Axolote","Axolote","Axolote","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","038","B","","",""
"Basededatos","Base de Datos","Base de Datos","","",7.00,0,0,F,"E",2,"","",0,"PUESTO",F,F,"","052","B","","",""
"Burro","Burro","Burro","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","BUR","B","","",""
"CABALLO","Caballo","Caballo","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","CAB","B","","",""
"CANGURO","Canguro","Canguro","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","007","B","","",""
"COMPORTAMIENTOCODIGOSUGERIDOENTIDAD","Comportamiento de códigos","Comportamiento de códigos","","",7.00,0,0,T,"E",2,"","",1,"ORGANIZACION",F,F,"","CCS","B","","",""
"CONDICIONIMPO","Condiciones de exclusión","Condiciones de exclusión","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"T","CON","B","","",""
"CONEJO","Conejo","Conejo","C:\ZOO\IMAGENES\ICONOS\USER1.ICO","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","013","B","","",""
