entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"AJUSTEDECUPON","Codigo","AjuCupon","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"AJUSTEDECUPON","IdCupon","AjuCupon","IdCupon",F,"C",38,0,"CARACTER",F,"",F,"",T,""
"AJUSTEDECUPON","NotaDeCredito","AjuCupon","IdNC",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"AJUSTEDECUPON","TipoNotaDeCredito","AjuCupon","NCTIPO",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"AJUSTEDECUPON","IdFactura","AjuCupon","IdFactura",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"AJUSTEDECUPON","IdCliente","AjuCupon","IdCliente",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"AJUSTEDECUPON","MontoAjuste","AjuCupon","Monto",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"AJUSTEDECUPON","LetraFactura","AjuCupon","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"AJUSTEDECUPON","PuntoDeVentaFactura","AjuCupon","PVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"AJUSTEDECUPON","NumeroFactura","AjuCupon","Numero",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"AJUSTEDECUPON","Caja","AjuCupon","IdCaja",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"AJUSTEDECUPON","Vendedor","AjuCupon","idVendedor",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"AJUSTEDECUPON","FactTipo","","",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
