entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"AJUSTEDESTOCK","tipo","ajustock","tipocomp",F,"N",1,0,"NUMERICO",F,"",F,"3",F,""
"AJUSTEDESTOCK","Obs","ajustock","ajObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"AJUSTEDESTOCK","Numero","ajustock","ajnumero",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"AJUSTEDESTOCK","FechaDesde","ajustock","ajfedesde",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=Iif( goServicios.Librerias.ObtenerFecha() < goParametros.Felino.GestionDeVentas.MovMer.FechaUltimaTomaDeInventario, goServicios.Librerias.ObtenerFecha(), goParametros.Felino.GestionDeVentas.MovMer.FechaUltimaTomaDeInventario)",F,""
"AJUSTEDESTOCK","FechaHasta","ajustock","ajfehasta",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"AJUSTEDESTOCK","Codigo","ajustock","ajCodigo",F,"G",38,0,"CODIGO",T,"",T,"",F,""
"AJUSTEDESTOCK","Fecha","ajustock","ajfecha",T,"D",8,0,"FECHA",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"AJUSTEDESTOCK","Hora","ajustock","ajdHora",T,"C",8,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerHora()",F,""
"AJUSTEDESTOCK","Serie","ajustock","ajSerie",T,"C",7,0,"CARACTER",F,"",F,"=_Screen.Zoo.App.cSerie",F,""
"AJUSTEDESTOCK","Usuario","ajustock","ajdUsuario",T,"C",100,0,"CARACTER",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"AJUSTEDESTOCK","StockAfectadoArticulo","ajustockDeta","ajdCodigo",F,"G",38,0,"DETALLEITEMAJSTOCKART",F,"",F,"",F,""
"AJUSTEDESTOCK","StockAfectadoAuditoriaArt","ajAudiArtdet","ajdCodigo",F,"G",38,0,"DETALLEITEMAJAUDIARTICULOS",F,"",F,"",F,""
"AJUSTEDESTOCK","stockafectado","ajustockDet","ajdCodigo",T,"G",38,0,"DETALLEITEMAJUSTEDESTOCK",F,"",F,"",F,""
"AJUSTEDESTOCK","StockAfectadoAuditoriaComb","ajAudiCombDet","ajdCodigo",T,"G",38,0,"DETALLEITEMAJAUDICOMBINACION",F,"",F,"",F,""
"AJUSTEDESTOCK","stockafectadoEnTransito","ajuEnTranDet","ajdCodigo",T,"G",38,0,"DETALLEITEMAJUSTOCKENTRANSITO",F,"",F,"",F,""
"AJUSTEDESTOCK","StockAfectadoAuditoriaEnTransito","ajAuEnTranDet","ajdCodigo",T,"G",38,0,"DETALLEITEMAJAUDIENTRANSITO",F,"",F,"",F,""
