entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ARTICULO","Codigo","ART","ARTCOD",T,"C",13,0,"CODIGO",T,"",F,"",F,""
"ARTICULO","FechaCambioOferta","ART","AD3",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ARTICULO","FechaDeAlta","ART","AD1",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ARTICULO","FechaUltimaModificacion","ART","AD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ARTICULO","ListaDePreciosCheck","","",F,"N",1,0,"LSTPRECIOCHK",F,"",F,"",F,""
"ARTICULO","Descripcion","ART","ARTDES",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"ARTICULO","DescripcionAdicional","ART","ARTDESADIC",T,"C",254,0,"DESCRIPCION",F,"",F,"",F,""
"ARTICULO","Comportamiento","ART","ASTOCK",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"ARTICULO","Observacion","ART","AObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"ARTICULO","RequiereCCosto","ART","ReqCCosto",T,"N",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","SoloPromoYKit","ART","PromoYKit",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","Proveedor","ART","ARTFAB",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"ARTICULO","Unidad","ART","ARTUNI",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ARTICULO","Material","ART","AMATE",T,"C",10,0,"CODIGO",F,"MATERIAL",F,"",F,""
"ARTICULO","UnidadDeMedida","ART","UniMed",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ARTICULO","Estacion","ART","AESTA",T,"N",1,0,"ESTACION",F,"",F,"1",F,""
"ARTICULO","Anio","ART","AANO",T,"C",2,0,"ANIO",F,"",F,"=right(str(year(goServicios.Librerias.ObtenerFecha())),2)",F,""
"ARTICULO","Nomenclador","ART","ARTNARBA",T,"C",6,0,"CODIGO",F,"NOMENCLADORARBA",F,"",F,""
"ARTICULO","Clasificacion","ART","CLASIFART",T,"C",10,0,"CODIGO",F,"CLASIFICACIONARTICULO",F,"",F,""
"ARTICULO","EsOferta","ART","AOFERTA",T,"N",1,0,"SINOINVERTIDO",F,"",F,"1",F,""
"ARTICULO","EsUnKit","ART","ARTESUNKIT",F,"N",1,0,"SINOINVERTIDO",F,"",F,"1",F,""
"ARTICULO","PermiteDevolucion","ART","ARTCONDEVO",F,"N",1,0,"SINOGENERICO",F,"",F,"1",F,""
"ARTICULO","PermiteDescuento","ART","AL3",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","RestringirDescuentos","ART","ArtSinDes",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","Imagen","ART","ARIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"ARTICULO","CondicionIvaVentas","ART","ARTCONIVA",T,"N",1,0,"COMBOCONDICIONIVA",F,"",F,"",F,""
"ARTICULO","PorcentajeIvaVentas","ART","ARTPORIVA",T,"N",5,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ARTICULO","CondicionIvaCompras","ART","ARTIVA",T,"N",1,0,"COMBOCONDICIONIVA",F,"",F,"",F,""
"ARTICULO","PorcentajeIvaCompras","ART","ANX2",T,"N",5,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ARTICULO","PorcentajeImpuestoInterno","ART","impinterno",T,"N",5,2,"IMPUESTOINTERNO",F,"",F,"",F,""
"ARTICULO","PercepcionIvaRG5329","ART","ArtPercep",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"ARTICULO","NoComercializable","ART","NOCOM",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ARTICULO","Importado","ART","Importado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","ImprimeDespacho","ART","EsImpDes",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","RestringirArticulo","ART","ArtRest",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ARTICULO","Peso","ART","ARTPESO",T,"N",11,3,"NUMERICO",F,"",F,"",F,""
"ARTICULO","Largo","ART","ARTLARGO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","Ancho","ART","ARTANCHO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","Alto","ART","ARTALTO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","ParticipantesDetalle","KitPartDet","CODIGO",T,"G",38,0,"DETALLEITEMPARTICIPANTES",F,"",F,"",F,""
"ARTICULO","DescEcommerce","ART","DesEco",T,"M",0,0,"OBSERVACION4R",F,"",F,"",F,""
"ARTICULO","DescEcommerceHTML","ART","DesEcoHTML",T,"M",0,0,"OBSERVACION18R",F,"",F,"",F,""
"ARTICULO","Marca","ART","Marca",T,"C",30,0,"CODIGO",F,"MARCA",F,"",F,""
