entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ASIENTO","Cotizacion","ASIENTO","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"=1",T,""
"ASIENTO","Codigo","ASIENTO","ACOD",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"ASIENTO","ReversaA","ASIENTO","ReversaA",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ASIENTO","ReversadoPor","ASIENTO","RevPor",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ASIENTO","NumeroApertura","ASIENTO","NumAper",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ASIENTO","Fuente","ASIENTO","Fuente",T,"C",10,0,"CARACTER",F,"",F,"=_screen.Zoo.App.cSucursalActiva",T,""
"ASIENTO","Ejercicio","ASIENTO","Ejercicio",T,"N",8,0,"CODIGONUMERICO",F,"EJERCICIO",F,"",T,""
"ASIENTO","Contabilizacion","ASIENTO","Contabiliz",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ASIENTO","CierreEjercicio","ASIENTO","CierreEj",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ASIENTO","RazonSocial","ASIENTO","RSOCIAL",T,"C",10,0,"CODIGO",F,"RAZONSOCIAL",F,"",F,""
"ASIENTO","Tipo","ASIENTO","TipoAsient",T,"N",1,0,"COMBOXML",F,"",F,"=1",T,""
"ASIENTO","Clase","ASIENTO","Clase",T,"N",1,0,"COMBOXML",F,"",F,"=1",T,""
"ASIENTO","Referencia","ASIENTO","REFEREN",T,"C",150,0,"CARACTER",F,"",F,"",F,""
"ASIENTO","CentroDeCosto","ASIENTO","CCOSTO",F,"C",20,0,"CODIGO",F,"CENTRODECOSTO",F,"",F,""
"ASIENTO","CentroDeCostoVirtual","","",T,"C",20,0,"CODIGO",F,"CENTRODECOSTO",F,"",F,""
"ASIENTO","MonedaComprobante","ASIENTO","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"=goParametros.Felino.Generales.MonedaSistema",F,""
"ASIENTO","Numero","ASIENTO","NUMERO",T,"N",8,0,"NUMERICO",F,"",F,"",T,""
"ASIENTO","Fecha","ASIENTO","Fecha",T,"D",8,0,"FECHA",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"ASIENTO","AsientoDetalle","ASIENTODET","CODIGO",T,"C",20,0,"DETALLEITEMASIENTO",F,"",F,"",F,""
"ASIENTO","Diferencia","","",T,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ASIENTO","Observacion","ASIENTO","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
