entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"BANCO","Codigo","BANCO","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"BANCO","TipoInterno","BANCO","CLTPO",F,"N",1,0,"NUMERICO",F,"",F,"3",F,""
"BANCO","Nombre","BANCO","CLNOM",T,"C",60,0,"DESCRIPCION",F,"",T,"",F,""
"BANCO","TipoInterno2","BANCO","CLCFI",F,"N",1,0,"SINOGENERICO",F,"",F,"2",F,""
"BANCO","Observacion","BANCO","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"BANCO","Direccion","BANCO","CLDIR",T,"C",70,0,"TEXTO",F,"",F,"",F,""
"BANCO","Localidad","BANCO","CLLOC",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"BANCO","CodigoPostal","BANCO","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"BANCO","Provincia","BANCO","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"BANCO","Telefono","BANCO","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"BANCO","Fax","BANCO","CLFAX",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"BANCO","EMail","BANCO","CLEMAIL",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"BANCO","PaginaWeb","BANCO","CLPAGEWEB",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"BANCO","Contacto","BANCO","CLCONTAC",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"BANCO","Imagen","BANCO","CIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"BANCO","Clasificacion","BANCO","CLIMPD",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"BANCO","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"BANCO","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
