entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"BASEDEDATOS","Codigo","EMP","EMPCOD",T,"C",8,0,"CODIGO",T,"",F,"",F,""
"BASEDEDATOS","RutaCompleta","","",T,"C",250,0,"RUTABASEDEDATOS",F,"",F,"=_screen.zoo.crutainicial",T,""
"BASEDEDATOS","Unidad","EMP","EUNID",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"BASEDEDATOS","RutaMDF","EMP","cRutaMDF",T,"C",250,0,"RUTABASEDEDATOS",F,"",F,"",F,""
"BASEDEDATOS","Descripcion","EMP","DESCRIP",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"BASEDEDATOS","OrigenDestino","EMP","NC1",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",T,""
"BASEDEDATOS","Usuario","EMP","USUARIO",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"BASEDEDATOS","FechaLog","EMP","FCHLOG",F,"D",8,0,"FECHA",F,"",F,"",F,""
"BASEDEDATOS","Ruta","EMP","EPATH",F,"C",250,0,"CARACTER",F,"",F,"",F,""
"BASEDEDATOS","Sucursal","","",T,"C",5,0,"CODIGO",F,"SUCURSAL",F,"",F,""
"BASEDEDATOS","Color","EMP","COLOR_BD",T,"N",9,0,"COLOR",F,"",F,"",F,""
"BASEDEDATOS","Preferente","","",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","ProcesaPaquetes","","",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","InformaStock","EMP","infstk",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","ValidarSaludDeLaBase","EMP","ValSalu",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","RealizaBackup","EMP","haceBack",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","RutaBackup","EMP","RutaBack",T,"C",250,0,"RUTABACKUPBD",F,"",F,"",F,""
"BASEDEDATOS","Conectada","","",F,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"BASEDEDATOS","Replica","EMP","REPLICA",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BASEDEDATOS","IDBaseDeDatos","","",T,"C",200,0,"CARACTERPERMITEFOCO",F,"",F,"",F,""
"BASEDEDATOS","Observacion","EMP","cObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
