entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CAEAINFORMA","NumeroInterno","CAEAINF","NumInt",T,"N",15,0,"NUMERICO",F,"",F,"",F,""
"CAEAINFORMA","Fecha","CAEAINF","FECHA",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"CAEAINFORMA","Codigo","CAEAINF","Codigo",T,"G",38,0,"CODIGO",T,"",T,"",F,""
"CAEAINFORMA","CodCAEA","CAEAINF","CAEA",T,"N",15,0,"CODIGONUMERICO",F,"CAEA",F,"",F,""
"CAEAINFORMA","FechaVigenciaDesde","CAEAINF","VigenciaD",T,"D",8,0,"EtiquetaFechaDesHasIZ",F,"",F,"",F,""
"CAEAINFORMA","FechaVigenciaHasta","CAEAINF","VigenciaH",T,"D",8,0,"EtiquetaFechaDesHasIZ",F,"",F,"",F,""
"CAEAINFORMA","FechaTope","CAEAINF","FechaTope",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CAEAINFORMA","PtoVenta","CAEAINF","PtoVta",T,"N",5,0,"NUMERICO",F,"",F,"",F,""
"CAEAINFORMA","PeriodoCAEA","CAEAINF","Periodo",T,"C",7,0,"CARACTER",F,"",F,"",F,""
"CAEAINFORMA","Quincena","CAEAINF","Quincena",T,"N",1,0,"NUMERICO",F,"",F,"",F,""
"CAEAINFORMA","CaeInformaDetalle","CAEAINFDET","Codigo",T,"G",38,0,"DETALLEITEMCAEAINFORMA",F,"",F,"",F,""
"CAEAINFORMA","Resultado2","CAEAINF","Resultado2",T,"C",10,0,"CARACTER",F,"",F,"",F,""
"CAEAINFORMA","FechaProceso2","CAEAINF","FechaProc2",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CAEAINFORMA","Observacion","CAEAINF","ObsAfip",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
