entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CAEPORLOTE","Codigo","CAEPL","CODIGO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",F,""
"CAEPORLOTE","FechaAltaFW","CAEPL","FAltaFW",T,"D",8,0,"FECHA",F,"",F,"=golibrerias.obtenerfecha()",F,""
"CAEPORLOTE","Entidad","CAEPL","Comprob",T,"C",40,0,"COMBOENTIDADESCAEPORLOTE",F,"",T,"="FACTURAELECTRONICA"",T,""
"CAEPORLOTE","Letra","CAEPL","Letra",T,"C",1,0,"CARACTER",F,"",F,"="A"",T,""
"CAEPORLOTE","PuntoDeVenta","CAEPL","ptovta",T,"N",4,0,"NUMERICO",F,"",F,"=goServicios.Parametros.Felino.GestionDeVentas.FacturacionElectronica.Nacional.PuntoDeVenta",T,""
"CAEPORLOTE","Serie","CAEPL","serie",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSerie",F,""
"CAEPORLOTE","Version","CAEPL","vrsn",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.ObtenerVersion()",F,""
"CAEPORLOTE","Db","CAEPL","db",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSucursalActiva",F,""
"CAEPORLOTE","Usuario","CAEPL","usuario",T,"C",100,0,"CARACTER",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"CAEPORLOTE","NumeroDesde","CAEPL","NumDesde",T,"N",9,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"CAEPORLOTE","NumeroHasta","CAEPL","NumHasta",T,"N",9,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=99999999",F,""
"CAEPORLOTE","Obs","CAEPL","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CAEPORLOTE","Detalle","CAEPL","detalle",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
