entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CAJAESTADO","Id","CajaEsta","NumCaja",T,"N",2,0,"CODIGONUMERICO",T,"",F,"",T,""
"CAJAESTADO","Descripcion","CajaEsta","Descrip",T,"C",40,0,"CARACTER",F,"",T,"",F,""
"CAJAESTADO","DescripcionEstado","CajaEsta","",T,"C",7,0,"CARACTER",F,"",F,"",F,""
"CAJAESTADO","Fecha","CajaEsta","Fecha",F,"D",8,0,"FECHA",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"CAJAESTADO","IdCajaAuditoria","CajaEsta","IdCajaAud",F,"N",10,0,"NUMERICO",F,"",F,"",F,""
"CAJAESTADO","Estado","CajaEsta","Estado",F,"C",1,0,"CARACTER",F,"",F,"="C"",T,""
"CAJAESTADO","UsuarioProcesando","CajaEsta","idUsuarioP",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"CAJAESTADO","Fechaprocesando","CajaEsta","Fechap",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CAJAESTADO","FechaUltimaApertura","","",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CAJAESTADO","HoraUltimaApertura","","",T,"C",8,0,"HORA",F,"",F,"",F,""
"CAJAESTADO","ArqueoAlCierre","CajaEsta","Arqueo",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CAJAESTADO","UsaVendedorArqueoEnCierre","CajaEsta","UsaVend",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CAJAESTADO","OcultarTotalMoneda","CajaEsta","TotMoneda",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CAJAESTADO","Observacion","CajaEsta","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
