entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CALCULODEPRECIOS","Codigo","CALCPREC","CODIGO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"CALCULODEPRECIOS","Descripcion","CALCPREC","Descrip",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"CALCULODEPRECIOS","Fecha","CALCPREC","FECHA",T,"D",8,0,"FECHACALENDARIO",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"CALCULODEPRECIOS","FechaProceso","CALCPREC","FProceso",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CALCULODEPRECIOS","FechaVigencia","CALCPREC","FECHAVIG",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha() +1",T,""
"CALCULODEPRECIOS","FechaBase","CALCPREC","Fechabase",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"CALCULODEPRECIOS","ImportarSinTransaccion","CALCPREC","SinTransac",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"CALCULODEPRECIOS","UsaCombinacion","CALCPREC","UsaComb",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"CALCULODEPRECIOS","Anulado","CALCPREC","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CALCULODEPRECIOS","Observacion","CALCPREC","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CALCULODEPRECIOS","ModPrecios","CALCPRECDET","CODIGO",T,"N",8,0,"DETALLEITEMCALCULODEPRECIOS",F,"",F,"",F,""
"CALCULODEPRECIOS","Articulo_Comportamiento","CALCPREC","Comporta",T,"C",1,0,"COMBOCOMPORTAMIENTO",F,"",F,"",F,""
"CALCULODEPRECIOS","PrecioKitPackxParticipante","CALCPREC","KPxPartic",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"CALCULODEPRECIOS","f_Articulo_Desde","CALCPREC","ArtDesde",T,"C",13,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"",F,""
"CALCULODEPRECIOS","f_Articulo_Hasta","CALCPREC","ArtHasta",T,"C",13,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"ZZZZZZZZZZZZZ",F,""
"CALCULODEPRECIOS","f_Color_Desde","CALCPREC","ColDesde",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"COLOR",F,"",F,""
"CALCULODEPRECIOS","f_Color_Hasta","CALCPREC","ColHasta",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"COLOR",F,"ZZ",F,""
"CALCULODEPRECIOS","f_Talle_Desde","CALCPREC","TalDesde",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"CALCULODEPRECIOS","f_Talle_Hasta","CALCPREC","TalHasta",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZ",F,""
"CALCULODEPRECIOS","f_Articulo_Proveedor_Desde","CALCPREC","ProDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"",F,""
"CALCULODEPRECIOS","f_Articulo_Proveedor_Hasta","CALCPREC","ProHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"ZZZZZ",F,""
"CALCULODEPRECIOS","f_Articulo_Unidad_Desde","CALCPREC","UniDesde",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"UNIDADDEMEDIDA",F,"",F,""
"CALCULODEPRECIOS","f_Articulo_Unidad_Hasta","CALCPREC","UniHasta",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"UNIDADDEMEDIDA",F,"ZZZ",F,""
