entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CANCELACIONDECOMPRA","ComprobanteFiscal","CANCOMPRA","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CANCELACIONDECOMPRA","FechaModificacion","CANCOMPRA","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CANCELACIONDECOMPRA","Hora","CANCOMPRA","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"CANCELACIONDECOMPRA","MonedaComprobante","CANCOMPRA","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"CANCELACIONDECOMPRA","SimboloMonetarioComprobante","CANCOMPRA","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"CANCELACIONDECOMPRA","SubtotalBruto","CANCOMPRA","FSubTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","SubtotalNeto","CANCOMPRA","fSubToN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","TipoComprobante","CANCOMPRA","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=44",F,""
"CANCELACIONDECOMPRA","Turno","CANCOMPRA","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","signodemovimiento","CANCOMPRA","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",F,""
"CANCELACIONDECOMPRA","ImpuestosDetalle","ImpCanComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSCANC",F,"",F,"",F,""
"CANCELACIONDECOMPRA","anulado","CANCOMPRA","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CANCELACIONDECOMPRA","CondicionIva","CANCOMPRA","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"CANCELACIONDECOMPRA","CUIT","CANCOMPRA","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"CANCELACIONDECOMPRA","IdVuelto","CANCOMPRA","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"CANCELACIONDECOMPRA","DescuentoAutomatico","CANCOMPRA","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CANCELACIONDECOMPRA","SubTotalConImpuestosSobreItems","CANCOMPRA","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","SubTotalSinImpuestosSobreItems","CANCOMPRA","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","RecargoMontoSinImpuestos","CANCOMPRA","RecMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","RecargoMontoSinImpuestos1","CANCOMPRA","RecMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","RecargoMontoSinImpuestos2","CANCOMPRA","RecMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","MontoDescuentoSinImpuestos","CANCOMPRA","DesMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","MontoDescuentoSinImpuestos1","CANCOMPRA","DesMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CANCELACIONDECOMPRA","MontoDescuentoSinImpuestos2","CANCOMPRA","DesMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
